"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Gravenhage";17.6;96
"'s-Hertogenbosch";44.5;69
"Aa en Hunze";3.9;1
"Aalsmeer";15.7;5
"Aalten";3.7;1
"Achtkarspelen";0;0
"Alblasserdam";9.9;2
"Albrandswaard";19.5;5
"Alkmaar";19.2;21
"Almelo";13.7;10
"Almere";23.6;50
"Alphen aan den Rijn";28.6;32
"Alphen-Chaam";88.1;9
"Altena";33.9;19
"Ameland";0;0
"Amersfoort";15.3;24
"Amstelveen";33.8;31
"Amsterdam";28.2;246
"Apeldoorn";13.4;22
"Appingedam";8.6;1
"Arnhem";18.6;30
"Assen";10.2;7
"Asten";29.9;5
"Baarle-Nassau";14.6;1
"Baarn";8;2
"Barendrecht";34.9;17
"Barneveld";13.5;8
"Beek";0;0
"Beekdaelen";33.4;12
"Beemster";20;2
"Beesel";74.2;10
"Berg en Dal";48.6;17
"Bergeijk";26.8;5
"Bergen (L.)";22.9;3
"Bergen (NH.)";33.5;10
"Bergen op Zoom";19.3;13
"Berkelland";2.3;1
"Bernheze";195.2;61
"Best";63.4;19
"Beuningen";46.3;12
"Beverwijk";16.8;7
"Bladel";49;10
"Blaricum";17.3;2
"Bloemendaal";12.7;3
"Bodegraven-Reeuwijk";8.6;3
"Boekel";213.3;23
"Borger-Odoorn";3.9;1
"Borne";42.9;10
"Borsele";13.2;3
"Boxmeer";34;10
"Boxtel";29.2;9
"Breda";64;118
"Brielle";28.9;5
"Bronckhorst";2.8;1
"Brummen";19.3;4
"Brunssum";32.4;9
"Bunnik";26.3;4
"Bunschoten";9.1;2
"Buren";18.7;5
"Capelle aan den IJssel";32.8;22
"Castricum";22.2;8
"Coevorden";17;6
"Cranendonck";165.4;35
"Cuijk";23.9;6
"Culemborg";51.8;15
"Dalfsen";24.5;7
"Dantumadiel";0;0
"De Bilt";30.1;13
"De Fryske Marren";21.3;11
"De Ronde Venen";27;12
"De Wolden";8.2;2
"Delft";21.2;22
"Delfzijl";16.2;4
"Den Helder";10.7;6
"Deurne";113.9;37
"Deventer";21.8;22
"Diemen";13;4
"Dinkelland";49.1;13
"Doesburg";27.1;3
"Doetinchem";8.6;5
"Dongen";26.7;7
"Dordrecht";25.1;30
"Drechterland";5.1;1
"Drimmelen";51.3;14
"Dronten";24.1;10
"Druten";68.7;13
"Duiven";15.9;4
"Echt-Susteren";69.6;22
"Edam-Volendam";27.6;10
"Ede";24.8;29
"Eemnes";10.8;1
"Eersel";67.3;13
"Eijsden-Margraten";23.3;6
"Eindhoven";26.4;62
"Elburg";17.3;4
"Emmen";5.6;6
"Enkhuizen";75.3;14
"Enschede";17.5;28
"Epe";30.1;10
"Ermelo";33.3;9
"Etten-Leur";52.4;23
"Geertruidenberg";32.5;7
"Geldrop-Mierlo";25.2;10
"Gemert-Bakel";182.3;56
"Gennep";65;11
"Gilze en Rijen";49.2;13
"Goeree-Overflakkee";51.9;26
"Goes";15.8;6
"Goirle";71.1;17
"Gooise Meren";25.8;15
"Gorinchem";27;10
"Gouda";17.7;13
"Grave";80.4;10
"Groningen";4.7;11
"Gulpen-Wittem";14.1;2
"Haaksbergen";24.7;6
"Haaren";97.4;14
"Haarlem";19;31
"Haarlemmermeer";20.5;32
"Halderberge";29.7;9
"Hardenberg";14.8;9
"Harderwijk";16.5;8
"Hardinxveld-Giessendam";5.5;1
"Harlingen";6.4;1
"Hattem";40.9;5
"Heemskerk";43.4;17
"Heemstede";18.4;5
