"Category";"Aantal"
"Aalsmeer";3
"Albrandswaard";1
"Alkmaar";1
"Almelo";1
"Almere";2
"Alphen aan den Rijn";6
"Alphen-Chaam";1
"Altena";9
"Amersfoort";4
"Amstelveen";3
"Amsterdam";31
"Apeldoorn";3
"Arnhem";4
"Barendrecht";1
"Beekdaelen";9
"Berg en Dal";6
"Bergeijk";1
"Bergen (NH.)";1
"Bergen op Zoom";1
"Bernheze";15
"Best";3
"Beuningen";4
"Beverwijk";5
"Bladel";1
"Blaricum";1
"Bloemendaal";1
"Bodegraven-Reeuwijk";1
"Boekel";12
"Borne";3
"Borsele";1
"Boxmeer";1
"Boxtel";2
"Breda";64
"Bronckhorst";2
"Buren";2
"Castricum";4
"Coevorden";11
"Cranendonck";2
"Cuijk";2
"Culemborg";2
"De Bilt";11
"De Fryske Marren";2
"De Wolden";1
"Delft";2
"Den Helder";1
"Deurne";3
"Diemen";2
"Dinkelland";4
"Dongen";5
"Dordrecht";1
"Drimmelen";5
"Dronten";3
"Druten";3
"Duiven";1
"Eersel";2
"Eijsden-Margraten";1
"Eindhoven";13
"Elburg";1
"Emmen";1
"Enschede";3
"Ermelo";5
"Etten-Leur";7
"Geertruidenberg";1
"Geldrop-Mierlo";2
"Gemert-Bakel";13
"Gennep";1
"Gilze en Rijen";1
"Goeree-Overflakkee";1
"Goes";2
"Goirle";6
"Gooise Meren";4
"Gouda";2
"Groningen";3
"Haaren";7
"Haarlem";4
"Harderwijk";2
"Hardinxveld-Giessendam";5
"Heemskerk";1
"Heemstede";2
"Heerlen";4
"Heeze-Leende";1
"Heiloo";2
"Hellendoorn";2
"Hellevoetsluis";1
"Helmond";17
"Heusden";4
"Hilvarenbeek";5
"Hoeksche Waard";1
"Hoogeveen";2
"Horst aan de Maas";3
"Houten";13
"Huizen";1
"IJsselstein";1
"Katwijk";1
"Kerkrade";1
"Koggenland";1
"Krimpen aan den IJssel";1
"Krimpenerwaard";3
"Laarbeek";1
"Landerd";5
"Landgraaf";4
"Landsmeer";2
"Langedijk";3
"Lansingerland";4
"Leeuwarden";1
"Leiden";4
"Leidschendam-Voorburg";3
"Lelystad";5
"Leudal";6
"Lingewaard";3
"Loon op Zand";7
"Maasgouw";1
"Maassluis";1
"Maastricht";16
"Meierijstad";30
"Moerdijk";1
"Neder-Betuwe";3
"Nederweert";3
"Nieuwkoop";1
"Nijmegen";9
"Nissewaard";1
"Noordoostpolder";2
"Noordwijk";2
"Nuenen, Gerwen en Nederwetten";1
"Nunspeet";1
"Oegstgeest";4
"Oisterwijk";6
"Oldebroek";1
"Oldenzaal";1
"Ommen";1
"Oosterhout";4
"Opsterland";2
"Oss";4
"Overbetuwe";4
"Peel en Maas";10
"Pekela";1
"Pijnacker-Nootdorp";6
"Purmerend";2
"Raalte";1
"Reimerswaal";1
"Renkum";7
"Rheden";1
"Ridderkerk";1
"Roermond";2
"Roosendaal";2
"Rotterdam";24
"Schagen";3
"Schouwen-Duiveland";2
"'s-Gravenhage";9
"'s-Hertogenbosch";14
"Simpelveld";2
"Sint Anthonis";2
"Sint-Michielsgestel";6
"Sittard-Geleen";35
"Smallingerland";2
"Soest";8
"Someren";1
"Son en Breugel";2
"Staphorst";1
"Stein";3
"Stichtse Vecht";6
"Súdwest-Fryslân";1
"Terneuzen";1
"Tiel";2
"Tilburg";68
"Tubbergen";1
"Uden";28
"Utrecht";30
"Utrechtse Heuvelrug";2
"Veenendaal";1
"Veere";1
"Veldhoven";1
"Velsen";1
"Venlo";3
"Vijfheerenlanden";2
"Vlaardingen";1
"Vlissingen";2
"Voorst";1
"Vught";2
"Waalre";1
"Waalwijk";8
"Waddinxveen";1
"Wassenaar";2
"Waterland";1
"West Betuwe";3
"West Maas en Waal";2
"Westvoorne";2
"Wijchen";3
"Wijk bij Duurstede";2
"Woerden";2
"Woudenberg";1
"Zaanstad";2
"Zaltbommel";1
"Zandvoort";1
"Zeewolde";2
"Zeist";4
"Zundert";3
"Zwartewaterland";2
"Zwijndrecht";2
"Zwolle";3
