"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Gravenhage";23.8;130
"'s-Hertogenbosch";54.2;84
"Aa en Hunze";3.9;1
"Aalsmeer";22;7
"Aalten";3.7;1
"Achtkarspelen";0;0
"Alblasserdam";24.8;5
"Albrandswaard";19.5;5
"Alkmaar";31.1;34
"Almelo";19.2;14
"Almere";36.3;77
"Alphen aan den Rijn";34;38
"Alphen-Chaam";107.7;11
"Altena";37.5;21
"Ameland";0;0
"Amersfoort";22.9;36
"Amstelveen";40.4;37
"Amsterdam";37;323
"Apeldoorn";17.1;28
"Appingedam";17.2;2
"Arnhem";24.8;40
"Assen";10.2;7
"Asten";47.8;8
"Baarle-Nassau";14.6;1
"Baarn";28.1;7
"Barendrecht";43.1;21
"Barneveld";15.2;9
"Beek";63;10
"Beekdaelen";88.9;32
"Beemster";39.9;4
"Beesel";81.6;11
"Berg en Dal";71.4;25
"Bergeijk";48.3;9
"Bergen (L.)";30.6;4
"Bergen (NH.)";36.9;11
"Bergen op Zoom";20.7;14
"Berkelland";2.3;1
"Bernheze";224;70
"Best";80;24
"Beuningen";57.9;15
"Beverwijk";24;10
"Bladel";58.8;12
"Blaricum";43.3;5
"Bloemendaal";17;4
"Bodegraven-Reeuwijk";14.3;5
"Boekel";250.4;27
"Borger-Odoorn";7.8;2
"Borne";55.8;13
"Borsele";13.2;3
"Boxmeer";47.7;14
"Boxtel";35.7;11
"Breda";68.4;126
"Brielle";40.5;7
"Bronckhorst";2.8;1
"Brummen";28.9;6
"Brunssum";89.9;25
"Bunnik";39.5;6
"Bunschoten";13.7;3
"Buren";26.2;7
"Capelle aan den IJssel";34.3;23
"Castricum";33.3;12
"Coevorden";19.8;7
"Cranendonck";207.9;44
"Cuijk";27.8;7
"Culemborg";65.6;19
"Dalfsen";35;10
"Dantumadiel";10.6;2
"De Bilt";39.4;17
"De Fryske Marren";23.3;12
"De Ronde Venen";40.5;18
"De Wolden";8.2;2
"Delft";26;27
"Delfzijl";20.3;5
"Den Helder";14.2;8
"Deurne";135.5;44
"Deventer";25.8;26
"Diemen";13;4
"Dinkelland";60.4;16
"Doesburg";36.1;4
"Doetinchem";10.3;6
"Dongen";41.9;11
"Dordrecht";38.6;46
"Drechterland";5.1;1
"Drimmelen";51.3;14
"Dronten";36.1;15
"Druten";84.6;16
"Duiven";19.9;5
"Echt-Susteren";79.1;25
"Edam-Volendam";38.7;14
"Ede";31.6;37
"Eemnes";10.8;1
"Eersel";93.2;18
"Eijsden-Margraten";124.3;32
"Eindhoven";37.1;87
"Elburg";21.6;5
"Emmen";8.4;9
"Enkhuizen";75.3;14
"Enschede";23.2;37
"Epe";33.1;11
"Ermelo";44.4;12
"Etten-Leur";70.6;31
"Geertruidenberg";41.8;9
"Geldrop-Mierlo";45.3;18
"Gemert-Bakel";198.5;61
"Gennep";70.9;12
"Gilze en Rijen";56.7;15
"Goeree-Overflakkee";69.9;35
"Goes";21;8
"Goirle";87.8;21
"Gooise Meren";27.6;16
"Gorinchem";29.7;11
"Gouda";30;22
"Grave";112.6;14
"Groningen";5.6;13
"Gulpen-Wittem";70.5;10
"Haaksbergen";41.1;10
"Haaren";97.4;14
"Haarlem";21.5;35
"Haarlemmermeer";26.3;41
"Halderberge";29.7;9
"Hardenberg";16.4;10
"Harderwijk";16.5;8
"Hardinxveld-Giessendam";5.5;1
"Harlingen";12.7;2
"Hattem";49.1;6
"Heemskerk";45.9;18
"Heemstede";29.4;8
"Heerde";107.6;20
"Heerenveen";19.8;10
"Heerhugowaard";38.2;22
"Heerlen";91.9;80
"Heeze-Leende";43.3;7
"Heiloo";29.2;7
"Hellendoorn";16.7;6
"Hellevoetsluis";19.9;8
"Helmond";58.4;54
"Hendrik-Ido-Ambacht";9.6;3
"Hengelo";13.6;11
"Het Hogeland";10.5;5
"Heumen";72.9;12
"Heusden";71.6;32
"Hillegom";22.5;5
"Hilvarenbeek";38.7;6
"Hilversum";18.7;17
"Hoeksche Waard";56;49
"Hof van Twente";34.3;12
"Hollands Kroon";47.5;23
"Hoogeveen";12.6;7
"Hoorn";24.6;18
"Horst aan de Maas";80.1;34
"Houten";29.9;15
"Huizen";31.5;13
"Hulst";14.5;4
"IJsselstein";73.3;25
"Kaag en Braassem";18.3;5
"Kampen";71.8;39
"Kapelle";7.9;1
"Katwijk";18.2;12
"Kerkrade";78.7;36
"Koggenland";26.4;6
"Krimpen aan den IJssel";13.5;4
"Krimpenerwaard";56.8;32
"Laarbeek";119.8;27
"Landerd";158.9;25
"Landgraaf";77.4;29
"Landsmeer";26.1;3
"Langedijk";42.6;12
"Lansingerland";35.3;22
"Laren";62.1;7
"Leeuwarden";21;26
"Leiden";15.2;19
"Leiderdorp";22.2;6
"Leidschendam-Voorburg";15.7;12
"Lelystad";40.7;32
"Leudal";128.1;46
"Leusden";16.4;5
"Lingewaard";45.1;21
"Lisse";17.4;4
"Lochem";14.8;5
"Loon op Zand";81.2;19
"Lopik";82.9;12
"Loppersum";0;0
"Losser";26.4;6
"Maasdriel";47.9;12
"Maasgouw";71;17
"Maassluis";30.1;10
"Maastricht";81.4;99
"Medemblik";22.2;10
"Meerssen";53.1;10
"Meierijstad";177.3;144
"Meppel";11.8;4
"Middelburg";26.6;13
"Midden-Delfland";15.5;3
"Midden-Drenthe";18.1;6
"Midden-Groningen";6.6;4
"Mill en Sint Hubert";64;7
"Moerdijk";18.8;7
"Molenlanden";31.9;14
"Montferland";13.9;5
"Montfoort";79;11
"Mook en Middelaar";38.2;3
"Neder-Betuwe";115;28
"Nederweert";146.9;25
"Nieuwegein";34.7;22
"Nieuwkoop";20.8;6
"Nijkerk";41.7;18
"Nijmegen";50.1;89
"Nissewaard";28.2;24
"Noardeast-Frysl̢n";8.8;4
"Noord-Beveland";0;0
"Noordenveld";3.2;1
"Noordoostpolder";16.9;8
"Noordwijk";20.7;9
"Nuenen, Gerwen en Nederwetten";51.3;12
"Nunspeet";71.8;20
"Oegstgeest";20.1;5
"Oirschot";48.1;9
"Oisterwijk";38.1;10
"Oldambt";2.6;1
"Oldebroek";42.3;10
"Oldenzaal";34.6;11
"Olst-Wijhe";32.9;6
"Ommen";33.3;6
"Oost Gelre";13.5;4
"Oosterhout";44.7;25
"Ooststellingwerf";3.9;1
"Oostzaan";51.4;5
"Opmeer";8.4;1
"Opsterland";16.8;5
"Oss";108.8;100
"Oude IJsselstreek";10.2;4
"Ouder-Amstel";28.5;4
"Oudewater";176;18
"Overbetuwe";89.8;43
"Papendrecht";9.3;3
"Peel en Maas";271.8;118
"Pekela";32.8;4
"Pijnacker-Nootdorp";23.5;13
"Purmerend";57.9;47
"Putten";4.1;1
"Raalte";47.7;18
"Reimerswaal";17.6;4
"Renkum";35;11
"Renswoude";55.1;3
"Reusel-De Mierden";53.4;7
"Rheden";64;28
"Rhenen";14.9;3
"Ridderkerk";56.3;26
"Rijssen-Holten";41.9;16
"Rijswijk";25.7;14
"Roerdalen";92.4;19
"Roermond";63.5;37
"Roosendaal";19.4;15
"Rotterdam";27.8;181
"Rozendaal";58.7;1
"Rucphen";26.2;6
"Schagen";28;13
"Scherpenzeel";0;0
"Schiedam";30.5;24
"Schiermonnikoog";0;0
"Schouwen-Duiveland";23.6;8
"Simpelveld";132.7;14
"Sint Anthonis";128.5;15
"Sint-Michielsgestel";58.2;17
"Sittard-Geleen";73.6;68
"Sliedrecht";15.9;4
"Sluis";17.2;4
"Smallingerland";10.7;6
"Soest";30;14
"Someren";103.2;20
"Son en Breugel";127;22
"Stadskanaal";0;0
"Staphorst";23.3;4
"Stede Broec";59.8;13
"Steenbergen";32.7;8
"Steenwijkerland";18.1;8
"Stein";112;28
"Stichtse Vecht";33.9;22
"S̼dwest-Frysl̢n";14.4;13
"Terneuzen";27.6;15
"Terschelling";0;0
"Texel";22.1;3
"Teylingen";29.4;11
"Tholen";116.5;30
"Tiel";61.7;26
"Tilburg";65.5;144
"Tubbergen";42.3;9
"Twenterand";23.7;8
"Tynaarlo";20.7;7
"Tytsjerksteradiel";9.4;3
"Uden";194.7;82
"Uitgeest";22;3
"Uithoorn";30.5;9
"Urk";66.6;14
"Utrecht";33.5;120
"Utrechtse Heuvelrug";32.3;16
"Vaals";69.3;7
"Valkenburg aan de Geul";61.1;10
"Valkenswaard";32.1;10
"Veendam";3.7;1
"Veenendaal";18;12
"Veere";13.7;3
"Veldhoven";33;15
"Velsen";26.2;18
"Venlo";83.5;85
"Venray";66.5;29
"Vijfheerenlanden";28.2;16
"Vlaardingen";27.2;20
"Vlieland";0;0
"Vlissingen";13.5;6
"Voerendaal";72.2;9
"Voorschoten";27.3;7
"Voorst";28.5;7
"Vught";101.7;27
"Waadhoeke";13;6
"Waalre";17.2;3
"Waalwijk";35;17
"Waddinxveen";27.3;8
"Wageningen";20.2;8
"Wassenaar";7.6;2
"Waterland";51.7;9
"Weert";73.8;37
"Weesp";25.3;5
"West Betuwe";41;21
"West Maas en Waal";56.9;11
"Westerkwartier";17.4;11
"Westerveld";15.4;3
"Westervoort";26.7;4
"Westerwolde";19.4;5
"Westland";29.9;33
"Weststellingwerf";7.7;2
"Westvoorne";33.9;5
"Wierden";8.2;2
"Wijchen";80.2;33
"Wijdemeren";20.5;5
"Wijk bij Duurstede";33.5;8
"Winterswijk";3.5;1
"Woensdrecht";18.3;4
"Woerden";59.3;31
"Wormerland";73.6;12
"Woudenberg";44.9;6
"Zaanstad";45.3;71
"Zaltbommel";45;13
"Zandvoort";40.9;7
"Zeewolde";26.5;6
"Zeist";35.4;23
"Zevenaar";59.4;26
"Zoetermeer";22.3;28
"Zoeterwoude";23.2;2
"Zuidplas";27.3;12
"Zundert";64.2;14
"Zutphen";20.9;10
"Zwartewaterland";97;22
"Zwijndrecht";24.6;11
"Zwolle";27.2;35
