"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Gravenhage";11.7;63
"'s-Hertogenbosch";43.4;67
"Aa en Hunze";3.9;1
"Aalsmeer";28.4;9
"Aalten";3.7;1
"Achtkarspelen";0;0
"Alblasserdam";19.9;4
"Albrandswaard";71.2;18
"Alkmaar";18.4;20
"Almelo";11;8
"Almere";10.1;21
"Alphen aan den Rijn";18;20
"Alphen-Chaam";147.8;15
"Altena";50.6;28
"Ameland";0;0
"Amersfoort";28.2;44
"Amstelveen";36.3;33
"Amsterdam";29;250
"Apeldoorn";17.9;29
"Appingedam";0;0
"Arnhem";14.4;23
"Assen";7.4;5
"Asten";35.9;6
"Baarle-Nassau";14.6;1
"Baarn";8.1;2
"Barendrecht";30.8;15
"Barneveld";20.7;12
"Beek";56.5;9
"Beekdaelen";81.2;29
"Beemster";10.3;1
"Beesel";44.4;6
"Berg en Dal";100.6;35
"Bergeijk";27;5
"Bergen (L)";7.6;1
"Bergen (NH)";40;12
"Bergen op Zoom";18;12
"Berkelland";4.6;2
"Bernheze";217.5;67
"Best";57;17
"Beuningen";50.2;13
"Beverwijk";26.7;11
"Bladel";69.4;14
"Blaricum";35.7;4
"Bloemendaal";55.5;13
"Bodegraven-Reeuwijk";14.5;5
"Boekel";396.7;42
"Borger-Odoorn";0;0
"Borne";34.5;8
"Borsele";17.5;4
"Boxmeer";31;9
"Boxtel";48.8;15
"Breda";90.8;167
"Brielle";5.8;1
"Bronckhorst";19.3;7
"Brummen";19.3;4
"Brunssum";60.5;17
"Bunnik";39.5;6
"Bunschoten";4.6;1
"Buren";22.6;6
"Capelle aan den IJssel";19.5;13
"Castricum";28;10
"Coevorden";42.3;15
"Cranendonck";112.5;23
"Cuijk";24.1;6
"Culemborg";28;8
"Dalfsen";38.6;11
"Dantumadiel";0;0
"De Bilt";63;27
"De Fryske Marren";15.6;8
"De Ronde Venen";18.2;8
"De Wolden";12.4;3
"Delft";16.5;17
"Delfzijl";4;1
"Den Helder";9;5
"Deurne";77.3;25
"Deventer";20;20
"Diemen";13.7;4
"Dinkelland";64.5;17
"Doesburg";35.9;4
"Doetinchem";13.9;8
"Dongen";15.4;4
"Dordrecht";19.4;23
"Drechterland";15.3;3
"Drimmelen";62.6;17
"Dronten";27;11
"Druten";31.9;6
"Duiven";7.9;2
"Echt-Susteren";47.4;15
"Edam-Volendam";19.4;7
"Ede";19;22
"Eemnes";11;1
"Eersel";68;13
"Eijsden-Margraten";58.5;15
"Eindhoven";29.4;68
"Elburg";17.3;4
"Emmen";6.5;7
"Enkhuizen";54;10
"Enschede";12.6;20
"Epe";39.2;13
"Ermelo";52.1;14
"Etten-Leur";54.8;24
"Geertruidenberg";46.5;10
"Geldrop-Mierlo";22.7;9
"Gemert-Bakel";210.2;64
"Gennep";41;7
"Gilze en Rijen";60.5;16
"Goeree-Overflakkee";86.7;43
"Goes";10.6;4
"Goirle";67.2;16
"Gooise Meren";20.8;12
"Gorinchem";10.9;4
"Gouda";23.2;17
"Grave";88.1;11
"Groningen";22.9;53
"Gulpen-Wittem";28.1;4
"Haaksbergen";12.4;3
"Haaren";84.5;12
"Haarlem";25.4;41
"Haarlemmermeer";14.9;23
"Halderberge";26.5;8
"Hardenberg";9.9;6
"Harderwijk";18.9;9
"Hardinxveld-Giessendam";33.2;6
"Harlingen";19;3
"Hattem";16.4;2
"Heemskerk";17.9;7
"Heemstede";58.6;16
"Heerde";80.9;15
"Heerenveen";6;3
"Heerhugowaard";26.4;15
"Heerlen";53;46
"Heeze-Leende";43.8;7
"Heiloo";34.1;8
"Hellendoorn";16.8;6
"Hellevoetsluis";12.5;5
"Helmond";60.1;55
"Hendrik-Ido-Ambacht";6.5;2
"Hengelo (O)";19.8;16
"Het Hogeland";2.1;1
"Heumen";66.7;11
"Heusden";43;19
"Hillegom";13.7;3
"Hilvarenbeek";52.2;8
"Hilversum";7.8;7
"Hoeksche Waard";35.8;31
"Hof van Twente";14.3;5
"Hollands Kroon";20.9;10
"Hoogeveen";10.8;6
"Hoorn";16.4;12
"Horst aan de Maas";40.2;17
"Houten";58.1;29
"Huizen";7.3;3
"Hulst";0;0
"IJsselstein";46.8;16
"Kaag en Braassem";14.9;4
"Kampen";37.2;20
"Kapelle";15.6;2
"Katwijk";9.2;6
"Kerkrade";37.2;17
"Koggenland";17.6;4
"Krimpen aan den IJssel";10.2;3
"Krimpenerwaard";21.4;12
"Laarbeek";76.1;17
"Landerd";161;25
"Landgraaf";47.9;18
"Landsmeer";52.2;6
"Langedijk";42.9;12
"Lansingerland";39;24
"Laren";26.8;3
"Leeuwarden";8.1;10
"Leiden";16;20
"Leiderdorp";7.4;2
"Leidschendam-Voorburg";17.2;13
"Lelystad";30.8;24
"Leudal";72.9;26
"Leusden";30;9
"Lingewaard";23.7;11
"Lisse";4.4;1
"Lochem";6;2
"Loon op Zand";85.7;20
"Lopik";69.1;10
"Loppersum";0;0
"Losser";4.4;1
"Maasdriel";12.1;3
"Maasgouw";37.9;9
"Maassluis";21.4;7
"Maastricht";77.3;94
"Medemblik";8.9;4
"Meerssen";42.3;8
"Meierijstad";172;139
"Meppel";8.9;3
"Middelburg";12.4;6
"Midden-Delfland";10.3;2
"Midden-Drenthe";3;1
"Midden-Groningen";3.3;2
"Mill en Sint Hubert";45.9;5
"Moerdijk";10.8;4
"Molenlanden";29.6;13
"Montferland";8.3;3
"Montfoort";21.4;3
"Mook en Middelaar";64.1;5
"Neder-Betuwe";45.8;11
"Nederweert";64.7;11
"Nieuwegein";17.5;11
"Nieuwkoop";14;4
"Nijkerk";18.6;8
"Nijmegen";52.6;93
"Nissewaard";20;17
"Noardeast-Fryslân";6.6;3
"Noord-Beveland";13.7;1
