"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Gravenhage";33.4;182
"'s-Hertogenbosch";96.7;150
"Aa en Hunze";19.6;5
"Aalsmeer";56.5;18
"Aalten";18.4;5
"Achtkarspelen";7.2;2
"Alblasserdam";34.7;7
"Albrandswaard";97.7;25
"Alkmaar";44.8;49
"Almelo";27.4;20
"Almere";28.3;60
"Alphen aan den Rijn";39.3;44
"Alphen-Chaam";254.6;26
"Altena";78.6;44
"Ameland";0;0
"Amersfoort";43.9;69
"Amstelveen";88.3;81
"Amsterdam";65.4;571
"Apeldoorn";36.6;60
"Appingedam";8.6;1
"Arnhem";39;63
"Assen";17.5;12
"Asten";101.6;17
"Baarle-Nassau";43.7;3
"Baarn";28.1;7
"Barendrecht";61.6;30
"Barneveld";37.2;22
"Beek";94.5;15
"Beekdaelen";119.5;43
"Beemster";59.9;6
"Beesel";111.3;15
"Berg en Dal";197.2;69
"Bergeijk";75.1;14
"Bergen (L.)";30.6;4
"Bergen (NH.)";77.1;23
"Bergen op Zoom";25.2;17
"Berkelland";11.4;5
"Bernheze";374.4;117
"Best";90;27
"Beuningen";92.7;24
"Beverwijk";52.9;22
"Bladel";103;21
"Blaricum";52;6
"Bloemendaal";80.6;19
"Bodegraven-Reeuwijk";34.4;12
"Boekel";565.7;61
"Borger-Odoorn";7.8;2
"Borne";90.1;21
"Borsele";30.8;7
"Boxmeer";85.1;25
"Boxtel";84.4;26
"Breda";133;245
"Brielle";63.7;11
"Bronckhorst";30.5;11
"Brummen";38.5;8
"Brunssum";111.4;31
"Bunnik";65.8;10
"Bunschoten";27.4;6
"Buren";33.7;9
"Capelle aan den IJssel";65.5;44
"Castricum";66.7;24
"Coevorden";56.7;20
"Cranendonck";274;58
"Cuijk";55.7;14
"Culemborg";69.1;20
"Dalfsen";56;16
"Dantumadiel";15.9;3
"De Bilt";97.4;42
"De Fryske Marren";42.7;22
"De Ronde Venen";54;24
"De Wolden";28.8;7
"Delft";32.8;34
"Delfzijl";28.4;7
"Den Helder";19.5;11
"Deurne";178.6;58
"Deventer";52.6;53
"Diemen";29.2;9
"Dinkelland";128.4;34
"Doesburg";54.2;6
"Doetinchem";41.4;24
"Dongen";80.1;21
"Dordrecht";38.6;46
"Drechterland";35.5;7
"Drimmelen";110;30
"Dronten";31.3;13
"Druten";95.1;18
"Duiven";27.9;7
"Echt-Susteren";101.2;32
"Edam-Volendam";44.2;16
"Ede";42.7;50
"Eemnes";21.6;2
"Eersel";119.1;23
"Eijsden-Margraten";205.8;53
"Eindhoven";61;143
"Elburg";77.7;18
"Emmen";14;15
"Enkhuizen";96.8;18
"Enschede";34.4;55
"Epe";99.4;33
"Ermelo";85.2;23
"Etten-Leur";123.1;54
"Geertruidenberg";69.6;15
"Geldrop-Mierlo";65.4;26
"Gemert-Bakel";305.9;94
"Gennep";112.3;19
"Gilze en Rijen";109.7;29
"Goeree-Overflakkee";223.8;112
"Goes";44.6;17
"Goirle";142.2;34
"Gooise Meren";44.8;26
"Gorinchem";67.6;25
"Gouda";58.5;43
"Grave";201;25
"Groningen";37.8;88
"Gulpen-Wittem";77.6;11
"Haaksbergen";41.1;10
"Haaren";160;23
"Haarlem";52.8;86
"Haarlemmermeer";39.1;61
"Halderberge";46.2;14
"Hardenberg";34.5;21
"Harderwijk";51.6;25
"Hardinxveld-Giessendam";54.7;10
"Harlingen";25.4;4
"Hattem";98.3;12
"Heemskerk";68.9;27
"Heemstede";117.5;32
"Heerde";215.2;40
"Heerenveen";17.8;9
"Heerhugowaard";53.8;31
"Heerlen";99.9;87
"Heeze-Leende";99.1;16
"Heiloo";70.9;17
"Hellendoorn";39;14
"Hellevoetsluis";37.4;15
"Helmond";113.6;105
"Hendrik-Ido-Ambacht";19.2;6
"Hengelo";49.3;40
"Het Hogeland";18.8;9
"Heumen";121.6;20
"Heusden";102.9;46
"Hillegom";27;6
"Hilvarenbeek";83.8;13
"Hilversum";27.5;25
"Hoeksche Waard";70.9;62
"Hof van Twente";51.4;18
"Hollands Kroon";51.6;25
"Hoogeveen";23.3;13
"Hoorn";31.4;23
"Horst aan de Maas";80.1;34
"Houten";115.7;58
"Huizen";31.5;13
"Hulst";21.8;6
"IJsselstein";111.4;38
"Kaag en Braassem";29.3;8
"Kampen";127;69
"Kapelle";15.8;2
"Katwijk";36.5;24
"Kerkrade";78.7;36
"Koggenland";44;10
"Krimpen aan den IJssel";50.8;15
"Krimpenerwaard";67.5;38
"Laarbeek";199.7;45
"Landerd";317.9;50
"Landgraaf";85.4;32
"Landsmeer";69.6;8
"Langedijk";56.8;16
"Lansingerland";78.5;49
"Laren";71;8
"Leeuwarden";18.5;23
"Leiden";31.2;39
"Leiderdorp";25.9;7
"Leidschendam-Voorburg";31.4;24
"Lelystad";43.2;34
"Leudal";144.9;52
"Leusden";62.5;19
"Lingewaard";60.1;28
"Lisse";17.4;4
"Lochem";41.5;14
"Loon op Zand";132.4;31
"Lopik";117.5;17
"Loppersum";10.5;1
"Losser";13.2;3
"Maasdriel";47.9;12
"Maasgouw";54.3;13
"Maassluis";45.2;15
"Maastricht";152.2;185
"Medemblik";48.8;22
"Meerssen";69;13
"Meierijstad";299.3;243
"Meppel";23.6;8
"Middelburg";28.7;14
"Midden-Delfland";20.7;4
"Midden-Drenthe";15.1;5
"Midden-Groningen";13.2;8
"Mill en Sint Hubert";100.5;11
"Moerdijk";32.3;12
"Molenlanden";52.4;23
"Montferland";27.8;10
"Montfoort";107.8;15
"Mook en Middelaar";101.9;8
"Neder-Betuwe";135.6;33
"Nederweert";158.6;27
"Nieuwegein";52;33
"Nieuwkoop";34.7;10
"Nijkerk";41.7;18
"Nijmegen";110.9;197
"Nissewaard";46.9;40
"Noardeast-Fryslân";13.3;6
"Noord-Beveland";27;2
"Noordenveld";16;5
"Noordoostpolder";23.3;11
"Noordwijk";39.1;17
"Nuenen, Gerwen en Nederwetten";68.4;16
"Nunspeet";186.7;52
"Oegstgeest";60.4;15
"Oirschot";74.8;14
"Oisterwijk";102.9;27
"Oldambt";5.2;2
"Oldebroek";126.9;30
"Oldenzaal";69.1;22
"Olst-Wijhe";49.3;9
"Ommen";55.5;10
"Oost Gelre";37.1;11
"Oosterhout";78.6;44
"Ooststellingwerf";3.9;1
"Oostzaan";82.2;8
"Opmeer";25.3;3
"Opsterland";23.5;7
"Oss";189.3;174
"Oude IJsselstreek";25.4;10
"Ouder-Amstel";71.3;10
"Oudewater";244.5;25
"Overbetuwe";127.3;61
"Papendrecht";21.8;7
"Peel en Maas";322.4;140
"Pekela";24.6;3
"Pijnacker-Nootdorp";52.4;29
"Purmerend";77.6;63
"Putten";24.9;6
"Raalte";53;20
"Reimerswaal";30.8;7
"Renkum";66.9;21
"Renswoude";18.4;1
"Reusel-De Mierden";53.4;7
"Rheden";80;35
"Rhenen";29.8;6
"Ridderkerk";73.6;34
"Rijssen-Holten";55;21
"Rijswijk";36.7;20
"Roerdalen";87.5;18
"Roermond";65.2;38
"Roosendaal";33.7;26
"Rotterdam";57.6;375
"Rozendaal";117.3;2
"Rucphen";43.7;10
"Schagen";40.9;19
"Scherpenzeel";40.5;4
"Schiedam";39.4;31
"Schiermonnikoog";0;0
"Schouwen-Duiveland";29.5;10
"Simpelveld";132.7;14
"Sint Anthonis";265.6;31
"Sint-Michielsgestel";113;33
"Sittard-Geleen";123.3;114
"Sliedrecht";27.8;7
"Sluis";25.8;6
"Smallingerland";17.8;10
"Soest";64.4;30
"Someren";149.7;29
"Son en Breugel";138.6;24
"Stadskanaal";3.2;1
"Staphorst";35;6
"Stede Broec";92;20
"Steenbergen";69.4;17
"Steenwijkerland";22.7;10
"Stein";136;34
"Stichtse Vecht";52.4;34
"Súdwest-Fryslân";25.6;23
"Terneuzen";36.7;20
"Terschelling";0;0
"Texel";22.1;3
"Teylingen";34.7;13
"Tholen";132;34
"Tiel";78.3;33
"Tilburg";150.1;330
"Tubbergen";65.8;14
"Twenterand";23.7;8
"Tynaarlo";50.2;17
"Tytsjerksteradiel";12.5;4
"Uden";365.6;154
"Uitgeest";65.9;9
"Uithoorn";57.7;17
"Urk";66.6;14
"Utrecht";85.8;307
"Utrechtse Heuvelrug";64.5;32
"Vaals";89.1;9
"Valkenburg aan de Geul";91.7;15
"Valkenswaard";115.4;36
"Veendam";7.3;2
"Veenendaal";30.1;20
"Veere";41.1;9
"Veldhoven";61.6;28
"Velsen";58.3;40
"Venlo";94.3;96
"Venray";84.9;37
"Vijfheerenlanden";82.7;47
"Vlaardingen";58.5;43
"Vlieland";0;0
"Vlissingen";29.3;13
"Voerendaal";104.2;13
"Voorschoten";31.2;8
"Voorst";81.5;20
"Vught";143.1;38
"Waadhoeke";13;6
"Waalre";45.8;8
"Waalwijk";121.3;59
"Waddinxveen";30.7;9
"Wageningen";20.2;8
"Wassenaar";22.9;6
"Waterland";80.4;14
"Weert";85.8;43
"Weesp";50.7;10
"West Betuwe";70.3;36
"West Maas en Waal";98.3;19
"Westerkwartier";31.6;20
"Westerveld";30.8;6
"Westervoort";33.4;5
"Westerwolde";15.5;4
"Westland";55.3;61
"Weststellingwerf";11.6;3
"Westvoorne";81.5;12
"Wierden";36.8;9
"Wijchen";104.6;43
"Wijdemeren";20.5;5
"Wijk bij Duurstede";46;11
"Winterswijk";13.9;4
"Woensdrecht";27.4;6
"Woerden";84.1;44
"Wormerland";79.8;13
"Woudenberg";59.9;8
"Zaanstad";47.9;75
"Zaltbommel";55.4;16
"Zandvoort";58.4;10
"Zeewolde";39.7;9
"Zeist";72.4;47
"Zevenaar";48;21
"Zoetermeer";22.3;28
"Zoeterwoude";34.8;3
"Zuidplas";38.7;17
"Zundert";114.6;25
"Zutphen";33.4;16
"Zwartewaterland";198.3;45
"Zwijndrecht";40.2;18
"Zwolle";71.4;92
