"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Hertogenbosch";52.2;81
"Aa en Hunze";3.9;1
"Aalsmeer";22;7
"Aalten";3.7;1
"Achtkarspelen";0;0
"Alblasserdam";24.8;5
"Albrandswaard";19.5;5
"Alkmaar";30.2;33
"Almelo";17.8;13
"Almere";34;72
"Alphen aan den Rijn";33.1;37
"Alphen-Chaam";107.7;11
"Altena";37.5;21
"Ameland";0;0
"Amersfoort";21.6;34
"Amstelveen";40.4;37
"Amsterdam";35.1;306
"Apeldoorn";15.9;26
"Appingedam";17.2;2
"Arnhem";24.2;39
"Assen";10.2;7
"Asten";47.8;8
"Baarle-Nassau";14.6;1
"Baarn";28.1;7
"Barendrecht";43.1;21
"Barneveld";15.2;9
"Beek";63;10
"Beekdaelen";80.6;29
"Beemster";39.9;4
"Beesel";81.6;11
"Berg en Dal";65.7;23
"Bergeijk";48.3;9
"Bergen (L.)";22.9;3
"Bergen (NH.)";36.9;11
"Bergen op Zoom";20.7;14
"Berkelland";2.3;1
"Bernheze";220.8;69
"Best";80;24
"Beuningen";57.9;15
"Beverwijk";21.6;9
"Bladel";58.8;12
"Blaricum";43.3;5
"Bloemendaal";17;4
"Bodegraven-Reeuwijk";14.3;5
"Boekel";250.4;27
"Borger-Odoorn";7.8;2
"Borne";55.8;13
"Borsele";13.2;3
"Boxmeer";44.3;13
"Boxtel";35.7;11
"Breda";68.4;126
"Brielle";40.5;7
"Bronckhorst";2.8;1
"Brummen";28.9;6
"Brunssum";86.3;24
"Bunnik";32.9;5
"Bunschoten";9.1;2
"Buren";22.4;6
"Capelle aan den IJssel";34.3;23
"Castricum";33.3;12
"Coevorden";19.8;7
"Cranendonck";207.9;44
"Cuijk";23.9;6
"Culemborg";62.2;18
"Dalfsen";35;10
"Dantumadiel";10.6;2
"De Bilt";37.1;16
"De Fryske Marren";23.3;12
"De Ronde Venen";38.2;17
"De Wolden";8.2;2
"Delft";24.1;25
"Delfzijl";16.2;4
"Den Helder";12.4;7
"Deurne";135.5;44
"Deventer";25.8;26
"Diemen";13;4
"Dinkelland";60.4;16
"Doesburg";27.1;3
"Doetinchem";10.3;6
"Dongen";41.9;11
"Dordrecht";37.7;45
"Drechterland";5.1;1
"Drimmelen";51.3;14
"Dronten";36.1;15
"Druten";84.6;16
"Duiven";19.9;5
"Echt-Susteren";72.7;23
"Edam-Volendam";38.7;14
"Ede";29;34
"Eemnes";10.8;1
"Eersel";93.2;18
"Eijsden-Margraten";112.6;29
"Eindhoven";37.1;87
"Elburg";17.3;4
"Emmen";8.4;9
"Enkhuizen";75.3;14
"Enschede";21.3;34
"Epe";33.1;11
