"Category";"Zkh opname per 100.000";"Zkh opname";"Meldingen per 100.000";"Meldingen"
"'s-Hertogenbosch";68.3;106;188.2;292
"Aa en Hunze";3.9;1;35.4;9
"Aalsmeer";22;7;91;29
"Aalten";7.4;2;99.6;27
"Achtkarspelen";0;0;18;5
"Alblasserdam";39.7;8;128.9;26
"Albrandswaard";31.3;8;222.8;57
"Alkmaar";42.9;47;149.8;164
"Almelo";24.6;18;87.6;64
"Almere";44.4;94;80.7;171
"Alphen aan den Rijn";43.8;49;93.8;105
"Alphen-Chaam";146.9;15;391.7;40
"Altena";44.7;25;151.8;85
"Ameland";0;0;0;0
"Amersfoort";30.5;48;74.4;117
"Amstelveen";45.8;42;219.2;201
"Amsterdam";42.2;368;136.3;1190
"Apeldoorn";23.2;38;106.2;174
"Appingedam";17.2;2;17.2;2
"Arnhem";31;50;99.2;160
"Assen";14.6;10;42.3;29
"Asten";71.7;12;233.1;39
"Baarle-Nassau";14.6;1;58.3;4
"Baarn";32.2;8;100.5;25
"Barendrecht";57.5;28;141.6;69
"Barneveld";20.3;12;127;75
"Beek";81.9;13;157.5;25
"Beekdaelen";100.1;36;189;68
"Beemster";39.9;4;79.8;8
"Beesel";140.9;19;229.9;31
"Berg en Dal";82.9;29;351.5;123
"Bergeijk";64.4;12;177.1;33
"Bergen (L.)";45.9;6;76.4;10
"Bergen (NH.)";53.6;16;150.8;45
"Bergen op Zoom";25.2;17;81.5;55
"Berkelland";6.9;3;70.9;31
"Bernheze";243.2;76;620.9;194
"Best";103.4;31;150.1;45
"Beuningen";69.5;18;154.5;40
"Beverwijk";36;15;132.2;55
"Bladel";73.5;15;186.3;38
"Blaricum";43.3;5;147.4;17
"Bloemendaal";21.2;5;157;37
"Bodegraven-Reeuwijk";20.1;7;80.3;28
"Boekel";287.5;31;741.8;80
"Borger-Odoorn";7.8;2;15.7;4
"Borne";55.8;13;171.6;40
"Borsele";17.6;4;79.2;18
"Boxmeer";57.9;17;221.3;65
"Boxtel";55.2;17;126.6;39
"Breda";74.3;137;197.5;364
"Brielle";63.7;11;133.1;23
"Bronckhorst";13.9;5;77.7;28
"Brummen";43.4;9;110.8;23
"Brunssum";115;32;190.5;53
"Bunnik";46.1;7;125.1;19
"Bunschoten";18.3;4;118.9;26
"Buren";26.2;7;82.3;22
"Capelle aan den IJssel";46.2;31;236.8;159
"Castricum";36.1;13;150.1;54
"Coevorden";25.5;9;113.3;40
"Cranendonck";269.3;57;590.6;125
"Cuijk";35.8;9;155.1;39
"Culemborg";69.1;20;131.2;38
"Dalfsen";52.5;15;181.9;52
"Dantumadiel";10.6;2;31.7;6
"De Bilt";44.1;19;178.6;77
"De Fryske Marren";25.2;13;87.3;45
"De Ronde Venen";58.5;26;123.7;55
"De Wolden";32.9;8;106.9;26
"Delft";34.7;36;88.8;92
"Delfzijl";20.3;5;52.7;13
"Den Helder";14.2;8;44.4;25
"Deurne";154;50;329.5;107
"Deventer";35.7;36;115.2;116
"Diemen";13;4;65;20
"Dinkelland";64.2;17;222.9;59
"Doesburg";45.1;5;144.4;16
"Doetinchem";17.2;10;94.8;55
"Dongen";57.2;15;194.5;51
"Dordrecht";51.1;61;133.3;159
"Drechterland";10.1;2;167.4;33
"Drimmelen";62.3;17;154;42
"Dronten";50.5;21;151.6;63
"Druten";100.4;19;391.2;74
"Duiven";39.8;10;107.5;27
"Echt-Susteren";110.7;35;196.1;62
"Edam-Volendam";52.5;19;127.1;46
"Ede";41.8;49;99;116
"Eemnes";10.8;1;108.1;10
"Eersel";103.6;20;207.1;40
"Eijsden-Margraten";178.6;46;407.7;105
"Eindhoven";56.7;133;125.4;294
"Elburg";47.5;11;289.3;67
"Emmen";12.1;13;51.4;55
"Enkhuizen";91.4;17;134.5;25
"Enschede";28.8;46;85.1;136
"Epe";54.2;18;229;76
"Ermelo";59.2;16;255.5;69
"Etten-Leur";84.3;37;253;111
"Geertruidenberg";41.8;9;97.5;21
"Geldrop-Mierlo";57.9;23;158.6;63
"Gemert-Bakel";218.1;67;432.9;133
"Gennep";82.7;14;230.4;39
"Gilze en Rijen";64.3;17;192.9;51
"Goeree-Overflakkee";91.9;46;427.6;214
"Goes";23.6;9;149.7;57
"Goirle";100.4;24;251;60
"Gooise Meren";36.2;21;124.1;72
"Gorinchem";37.8;14;289.1;107
"Gouda";40.8;30;190.6;140
"Grave";136.7;17;337.7;42
"Groningen";6.9;16;58.4;136
"Gulpen-Wittem";91.7;13;268.1;38
"Haaksbergen";53.5;13;160.4;39
"Haaren";104.4;15;215.7;31
"Haarlem";31.9;52;133.2;217
"Haarlemmermeer";32.7;51;100;156
"Halderberge";36.3;11;142;43
"Hardenberg";29.5;18;196.9;120
"Harderwijk";31;15;128;62
"Hardinxveld-Giessendam";5.5;1;136.6;25
"Harlingen";19.1;3;70;11
"Hattem";81.9;10;294.8;36
"Heemskerk";53.6;21;171;67
"Heemstede";33;9;286.4;78
"Heerde";134.5;25;538;100
"Heerenveen";23.8;12;112.9;57
"Heerhugowaard";38.2;22;137.2;79
"Heerlen";105.7;92;218.2;190
"Heeze-Leende";74.3;12;235.3;38
"Heiloo";37.5;9;133.5;32
"Hellendoorn";19.5;7;114.1;41
"Hellevoetsluis";27.4;11;124.5;50
"Helmond";80.1;74;225;208
"Hendrik-Ido-Ambacht";16;5;70.5;22
"Hengelo";19.7;16;120.8;98
"Het Hogeland";14.6;7;46;22
"Heumen";97.3;16;267.5;44
"Heusden";80.5;36;181.2;81
"Hillegom";27;6;90.1;20
"Hilvarenbeek";38.7;6;180.5;28
"Hilversum";23.1;21;72.6;66
"Hoeksche Waard";73.2;64;177.2;155
"Hof van Twente";40;14;134.2;47
"Hollands Kroon";53.7;26;101.2;49
"Hoogeveen";18;10;73.6;41
"Hoorn";31.4;23;75.1;55
"Horst aan de Maas";94.3;40;207.4;88
"Houten";35.9;18;173.5;87
"Huizen";41.2;17;116.3;48
"Hulst";29;8;90.7;25
"IJsselstein";88;30;211.1;72
"Kaag en Braassem";22;6;51.3;14
"Kampen";86.5;47;397.5;216
"Kapelle";15.8;2;118.2;15
"Katwijk";25.9;17;124.7;82
"Kerkrade";100.6;46;194.6;89
"Koggenland";26.4;6;114.3;26
"Krimpen aan den IJssel";27.1;8;135.4;40
"Krimpenerwaard";67.5;38;165.1;93
"Laarbeek";146.5;33;310.7;70
"Landerd";184.4;29;623;98
"Landgraaf";96.1;36;213.6;80
"Landsmeer";26.1;3;147.9;17
"Langedijk";53.3;15;120.8;34
"Lansingerland";48.1;30;195.5;122
"Laren";71;8;177.4;20
"Leeuwarden";25;31;37.9;47
"Leiden";25.6;32;74.3;93
"Leiderdorp";33.3;9;66.5;18
"Leidschendam-Voorburg";22.2;17;74.5;57
"Lelystad";54.7;43;104.3;82
"Leudal";144.9;52;337.1;121
"Leusden";23;7;98.7;30
"Lingewaard";51.5;24;124.4;58
"Lisse";21.8;5;56.6;13
"Lochem";26.7;9;121.6;41
"Loon op Zand";85.4;20;179.4;42
"Lopik";117.5;17;193.5;28
"Loppersum";0;0;21;2
"Losser";26.4;6;66.1;15
"Maasdriel";59.9;15;103.9;26
"Maasgouw";87.6;21;212.9;51
"Maassluis";42.1;14;111.4;37
"Maastricht";105.3;128;329.1;400
"Medemblik";31;14;106.4;48
"Meerssen";69;13;260.2;49
"Meierijstad";204.4;166;476.6;387
"Meppel";14.7;5;73.7;25
"Middelburg";26.6;13;69.7;34
"Midden-Delfland";15.5;3;56.9;11
"Midden-Drenthe";18.1;6;51.2;17
"Midden-Groningen";9.9;6;36.2;22
"Mill en Sint Hubert";82.3;9;182.8;20
"Moerdijk";24.2;9;110.4;41
"Molenlanden";36.4;16;166.2;73
"Montferland";22.2;8;125;45
"Montfoort";86.2;12;208.3;29
"Mook en Middelaar";63.7;5;293.1;23
"Neder-Betuwe";127.4;31;254.7;62
"Nederweert";164.5;28;229.1;39
"Nieuwegein";47.3;30;104;66
"Nieuwkoop";24.3;7;114.5;33
"Nijkerk";48.6;21;95;41
"Nijmegen";61.3;109;216.7;385
"Nissewaard";37.5;32;122;104
"Noardeast-Frysl̢n";11;5;48.6;22
"Noord-Beveland";13.5;1;67.6;5
"Noordenveld";6.4;2;38.4;12
