"Category";"Zkh opname per 100.000";"Zkh opname";"Meldingen per 100.000";"Meldingen"
"Noordoostpolder";19;9;71.9;34
"Noordwijk";29.9;13;62;27
"Nuenen, Gerwen en Nederwetten";55.6;13;141.2;33
"Nunspeet";100.6;28;402.2;112
"Oegstgeest";24.2;6;108.7;27
"Oirschot";64.1;12;192.3;36
"Oisterwijk";61;16;179.1;47
"Oldambt";5.2;2;15.7;6
"Oldebroek";93;22;325.7;77
"Oldenzaal";44;14;122.5;39
"Olst-Wijhe";49.3;9;164.4;30
"Ommen";38.9;7;177.7;32
"Oost Gelre";27;8;118.2;35
"Oosterhout";60.7;34;128.6;72
"Ooststellingwerf";3.9;1;7.9;2
"Oostzaan";82.2;8;184.9;18
"Opmeer";8.4;1;42.2;5
"Opsterland";16.8;5;53.8;16
"Oss";121.8;112;349.2;321
"Oude IJsselstreek";20.3;8;93.9;37
"Ouder-Amstel";35.6;5;163.9;23
"Oudewater";205.4;21;391.2;40
"Overbetuwe";108.5;52;198.3;95
"Papendrecht";21.8;7;118.3;38
"Peel en Maas";306.3;133;506.7;220
"Pekela";32.8;4;32.8;4
"Pijnacker-Nootdorp";34.3;19;115.7;64
"Purmerend";67.7;55;167.4;136
"Putten";12.4;3;66.4;16
"Raalte";53;20;143.2;54
"Reimerswaal";17.6;4;88;20
"Renkum";44.6;14;111.5;35
"Renswoude";73.4;4;220.3;12
"Reusel-De Mierden";61;8;106.8;14
"Rheden";70.9;31;125.8;55
"Rhenen";14.9;3;74.5;15
"Ridderkerk";62.8;29;149.3;69
"Rijssen-Holten";57.6;22;186;71
"Rijswijk";31.2;17;99.2;54
"Roerdalen";121.5;25;179.9;37
"Roermond";82.4;48;161.4;94
"Roosendaal";24.6;19;160.6;124
"Rotterdam";43.3;282;188.8;1230
"Rozendaal";58.7;1;117.3;2
"Rucphen";30.6;7;153;35
"s-Gravenhage";38;207;113.2;617
"Schagen";34.4;16;120.5;56
"Scherpenzeel";30.4;3;172.1;17
"Schiedam";41.9;33;101.6;80
"Schiermonnikoog";0;0;0;0
"Schouwen-Duiveland";26.6;9;70.9;24
"Simpelveld";161.1;17;265.4;28
"Sint Anthonis";154.2;18;454.1;53
"Sint-Michielsgestel";95.9;28;219.2;64
"Sittard-Geleen";98.5;91;234.8;217
"Sliedrecht";23.8;6;119;30
"Sluis";30.2;7;64.6;15
"Smallingerland";10.7;6;44.5;25
"Soest";40.8;19;126.6;59
"Someren";134.2;26;335.5;65
"Son en Breugel";155.9;27;288.7;50
"Stadskanaal";6.3;2;12.6;4
"Staphorst";40.8;7;239.2;41
"Stede Broec";73.6;16;179.4;39
"Steenbergen";44.9;11;183.7;45
"Steenwijkerland";24.9;11;106.5;47
"Stein";144;36;272;68
"Stichtse Vecht";40;26;100.1;65
"S̼dwest-Frysl̢n";17.8;16;57.8;52
"Terneuzen";34.9;19;134.1;73
"Terschelling";0;0;20.5;1
"Texel";22.1;3;81;11
"Teylingen";32.1;12;80.2;30
"Tholen";132;34;396;102
"Tiel";80.6;34;158.9;67
"Tilburg";71.9;158;227;499
"Tubbergen";47;10;282;60
"Twenterand";26.7;9;115.6;39
"Tynaarlo";20.7;7;94.5;32
"Tytsjerksteradiel";12.5;4;43.7;14
"Uden";208.9;88;503.3;212
"Uitgeest";29.3;4;131.9;18
"Uithoorn";40.7;12;112;33
"Urk";90.3;19;204.4;43
"Utrecht";44.2;158;156;558
"Utrechtse Heuvelrug";42.3;21;131;65
"Vaals";89.1;9;188.1;19
"Valkenburg aan de Geul";79.5;13;281.2;46
"Valkenswaard";41.7;13;288.5;90
"Veendam";7.3;2;25.6;7
"Veenendaal";45.1;30;108.3;72
"Veere";22.8;5;86.8;19
"Veldhoven";50.6;23;145.2;66
"Velsen";36.4;25;257.8;177
"Venlo";113;115;194.5;198
"Venray";80.3;35;162.8;71
"Vijfheerenlanden";35.2;20;262.3;149
"Vlaardingen";36.8;27;177;130
"Vlieland";0;0;0;0
"Vlissingen";18;8;99.2;44
"Voerendaal";104.2;13;184.4;23
"Voorschoten";35.2;9;93.7;24
"Voorst";40.7;10;171.1;42
"Vught";135.6;36;282.4;75
"Waadhoeke";15.2;7;125.9;58
"Waalre";28.6;5;114.6;20
"Waalwijk";47.3;23;201.6;98
"Waddinxveen";37.6;11;112.7;33
"Wageningen";32.8;13;73.1;29
"Wassenaar";26.7;7;118.3;31
"Waterland";68.9;12;120.5;21
"Weert";109.8;55;189.6;95
"Weesp";45.6;9;141.9;28
"West Betuwe";62.5;32;210.9;108
"West Maas en Waal";62.1;12;284.7;55
"Westerkwartier";22.1;14;78.9;50
"Westerveld";30.8;6;118.2;23
"Westervoort";60.1;9;113.5;17
"Westerwolde";19.4;5;19.4;5
"Westland";37.2;41;134.1;148
"Weststellingwerf";7.7;2;50.2;13
"Westvoorne";40.7;6;142.6;21
"Wierden";16.4;4;122.7;30
"Wijchen";87.5;36;209.1;86
"Wijdemeren";28.7;7;65.7;16
"Wijk bij Duurstede";29.3;7;96.2;23
"Winterswijk";10.4;3;65.8;19
"Woensdrecht";18.3;4;91.4;20
"Woerden";74.6;39;185.5;97
"Wormerland";98.2;16;177.9;29
"Woudenberg";59.9;8;142.2;19
"Zaanstad";56.2;88;140.4;220
"Zaltbommel";58.8;17;138.4;40
"Zandvoort";52.6;9;157.7;27
"Zeewolde";35.3;8;88.3;20
"Zeist";44.7;29;135.5;88
"Zevenaar";86.9;38;137.2;60
"Zoetermeer";28.7;36;78.2;98
"Zoeterwoude";23.2;2;81.3;7
"Zuidplas";38.7;17;145.8;64
"Zundert";73.3;16;201.6;44
"Zutphen";35.5;17;95.9;46
"Zwartewaterland";136.6;31;453.9;103
"Zwijndrecht";26.8;12;136.3;61
"Zwolle";35.7;46;172.3;222
