"Category";"Aantal per 100.000 inwoners";"Aantal"
"Ouder-Amstel";28.7;4
"Oudewater";39.2;4
"Overbetuwe";46.3;22
"Papendrecht";12.4;4
"Peel en Maas";147.8;64
"Pekela";16.4;2
"Pijnacker-Nootdorp";20.2;11
"Purmerend";25;20
"Putten";12.4;3
"Raalte";13.3;5
"Reimerswaal";22;5
"Renkum";31.9;10
"Renswoude";0;0
"Reusel-De Mierden";7.7;1
"Rheden";22.9;10
"Rhenen";0;0
"Ridderkerk";10.8;5
"Rijssen-Holten";10.4;4
"Rijswijk";9.4;5
"Roerdalen";29.1;6
"Roermond";36.1;21
"Roosendaal";14.3;11
"Rotterdam";21.6;139
"Rozendaal";120.9;2
"Rucphen";26.6;6
"Schagen";15;7
"Scherpenzeel";10.1;1
"Schiedam";10.3;8
"Schiermonnikoog";0;0
"Schouwen-Duiveland";8.9;3
"Simpelveld";47.5;5
"Sint Anthonis";112;13
"Sint-Michielsgestel";48.3;14
"Sittard-Geleen";63.7;59
"Sliedrecht";12;3
"Sluis";17.1;4
"Smallingerland";5.4;3
"Soest";34.6;16
"Someren";31.1;6
"Son en Breugel";59.2;10
"Stadskanaal";0;0
"Staphorst";17.6;3
"Stede Broec";23;5
"Steenbergen";31.9;8
"Steenwijkerland";6.8;3
"Stein";24;6
"Stichtse Vecht";18.7;12
"Súdwest-Fryslân";5.6;5
"Terneuzen";9.2;5
"Terschelling";0;0
"Texel";22.1;3
"Teylingen";18.9;7
"Tholen";27.2;7
"Tiel";11.9;5
"Tilburg";81.9;178
"Tubbergen";14.1;3
"Twenterand";3;1
"Tynaarlo";23.7;8
"Tytsjerksteradiel";3.1;1
"Uden";196.3;82
"Uitgeest";29.6;4
"Uithoorn";6.8;2
"Urk";33.7;7
"Utrecht";37.1;131
"Utrechtse Heuvelrug";22.2;11
"Vaals";0;0
"Valkenburg aan de Geul";24.3;4
"Valkenswaard";12.9;4
"Veendam";0;0
"Veenendaal";4.6;3
"Veere";22.9;5
"Veldhoven";24.3;11
"Velsen";14.6;10
"Venlo";32.5;33
"Venray";20.8;9
"Vijfheerenlanden";19.7;11
"Vlaardingen";20.7;15
"Vlieland";0;0
"Vlissingen";13.5;6
"Voerendaal";32.1;4
"Voorschoten";11.8;3
"Voorst";8.2;2
"Vught";56.8;15
"Waadhoeke";0;0
"Waalre";11.6;2
"Waalwijk";45.6;22
"Waddinxveen";14.1;4
"Wageningen";7.7;3
"Wassenaar";19.1;5
"Waterland";46.2;8
"Weert";14;7
"Weesp";5.2;1
"West Betuwe";23.7;12
"West Maas en Waal";31.5;6
"Westerkwartier";9.5;6
"Westerveld";5.2;1
"Westervoort";13.4;2
"Westerwolde";0;0
"Westland";13.8;15
"Weststellingwerf";3.9;1
"Westvoorne";34.2;5
"Wierden";0;0
"Wijchen";48.8;20
"Wijdemeren";4.2;1
