"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Gravenhage";8.2;44
"'s-Hertogenbosch";29.2;45
"Aa en Hunze";0;0
"Aalsmeer";15.8;5
"Aalten";3.7;1
"Achtkarspelen";0;0
"Alblasserdam";14.9;3
"Albrandswaard";31.7;8
"Alkmaar";10.1;11
"Almelo";5.5;4
"Almere";5.3;11
"Alphen aan den Rijn";13.5;15
"Alphen-Chaam";69;7
"Altena";39.7;22
"Ameland";0;0
"Amersfoort";23.7;37
"Amstelveen";28.6;26
"Amsterdam";18.7;161
"Apeldoorn";9.8;16
"Appingedam";0;0
"Arnhem";9.4;15
"Assen";1.5;1
"Asten";29.9;5
"Baarle-Nassau";14.6;1
"Baarn";4;1
"Barendrecht";18.5;9
"Barneveld";13.8;8
"Beek";31.4;5
"Beekdaelen";53.2;19
"Beemster";0;0
"Beesel";22.2;3
"Berg en Dal";71.8;25
"Bergeijk";5.4;1
"Bergen (L)";7.6;1
"Bergen (NH)";20;6
"Bergen op Zoom";13.5;9
"Berkelland";2.3;1
"Bernheze";133.1;41
"Best";36.9;11
"Beuningen";34.8;9
"Beverwijk";14.6;6
"Bladel";34.7;7
"Blaricum";35.7;4
"Bloemendaal";34.2;8
"Bodegraven-Reeuwijk";8.7;3
"Boekel";302.2;32
"Borger-Odoorn";0;0
"Borne";17.2;4
"Borsele";13.2;3
"Boxmeer";20.6;6
"Boxtel";35.8;11
"Breda";72.3;133
"Brielle";5.8;1
"Bronckhorst";16.6;6
"Brummen";4.8;1
"Brunssum";21.4;6
"Bunnik";19.7;3
"Bunschoten";0;0
"Buren";18.8;5
"Capelle aan den IJssel";4.5;3
"Castricum";19.6;7
"Coevorden";39.5;14
"Cranendonck";53.8;11
"Cuijk";16;4
"Culemborg";17.5;5
"Dalfsen";17.5;5
"Dantumadiel";0;0
"De Bilt";44.4;19
"De Fryske Marren";15.6;8
"De Ronde Venen";6.8;3
"De Wolden";12.4;3
"Delft";10.7;11
"Delfzijl";0;0
"Den Helder";5.4;3
"Deurne";58.7;19
"Deventer";16;16
"Diemen";10.3;3
"Dinkelland";49.3;13
"Doesburg";26.9;3
"Doetinchem";8.7;5
"Dongen";7.7;2
"Dordrecht";10.1;12
"Drechterland";10.2;2
"Drimmelen";51.6;14
"Dronten";27;11
"Druten";26.6;5
"Duiven";7.9;2
"Echt-Susteren";34.8;11
"Edam-Volendam";11.1;4
"Ede";11.2;13
"Eemnes";11;1
"Eersel";36.6;7
"Eijsden-Margraten";23.4;6
"Eindhoven";15.1;35
"Elburg";8.7;2
"Emmen";3.7;4
"Enkhuizen";32.4;6
"Enschede";10.1;16
"Epe";18.1;6
"Ermelo";41;11
"Etten-Leur";41.1;18
"Geertruidenberg";32.5;7
"Geldrop-Mierlo";15.2;6
"Gemert-Bakel";137.9;42
"Gennep";29.3;5
"Gilze en Rijen";26.5;7
"Goeree-Overflakkee";32.3;16
"Goes";8;3
"Goirle";50.4;12
"Gooise Meren";19.1;11
"Gorinchem";0;0
