"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Gravenhage";22.7;124
"'s-Hertogenbosch";69.6;108
"Aa en Hunze";11.8;3
"Aalsmeer";37.7;12
"Aalten";11.1;3
"Achtkarspelen";7.2;2
"Alblasserdam";29.8;6
"Albrandswaard";82.1;21
"Alkmaar";32.9;36
"Almelo";19.2;14
"Almere";18.4;39
"Alphen aan den Rijn";28.6;32
"Alphen-Chaam";186;19
"Altena";69.7;39
"Ameland";0;0
"Amersfoort";37.5;59
"Amstelveen";56.7;52
"Amsterdam";47.1;411
"Apeldoorn";29.9;49
"Appingedam";8.6;1
"Arnhem";28.5;46
"Assen";11.7;8
"Asten";47.8;8
"Baarle-Nassau";29.2;2
"Baarn";20.1;5
"Barendrecht";43.1;21
"Barneveld";28.8;17
"Beek";81.9;13
"Beekdaelen";94.5;34
"Beemster";39.9;4
"Beesel";81.6;11
"Berg en Dal";125.8;44
"Bergeijk";69.7;13
"Bergen (L.)";15.3;2
"Bergen (NH.)";53.6;16
"Bergen op Zoom";22.2;15
"Berkelland";4.6;2
"Bernheze";278.4;87
"Best";76.7;23
"Beuningen";61.8;16
"Beverwijk";31.2;13
"Bladel";73.5;15
"Blaricum";52;6
"Bloemendaal";72.1;17
"Bodegraven-Reeuwijk";25.8;9
"Boekel";472.9;51
"Borger-Odoorn";3.9;1
"Borne";55.8;13
"Borsele";30.8;7
"Boxmeer";44.3;13
"Boxtel";71.4;22
"Breda";116.7;215
"Brielle";28.9;5
"Bronckhorst";22.2;8
"Brummen";24.1;5
"Brunssum";86.3;24
"Bunnik";59.2;9
"Bunschoten";13.7;3
"Buren";26.2;7
"Capelle aan den IJssel";46.2;31
"Castricum";50;18
"Coevorden";48.2;17
"Cranendonck";198.4;42
"Cuijk";31.8;8
"Culemborg";48.3;14
"Dalfsen";49;14
"Dantumadiel";5.3;1
"De Bilt";83.5;36
"De Fryske Marren";23.3;12
"De Ronde Venen";38.2;17
"De Wolden";12.3;3
"Delft";26;27
"Delfzijl";16.2;4
"Den Helder";16;9
"Deurne";129.3;42
"Deventer";32.8;33
"Diemen";22.7;7
"Dinkelland";105.8;28
"Doesburg";54.2;6
"Doetinchem";29.3;17
"Dongen";38.1;10
"Dordrecht";26.8;32
"Drechterland";20.3;4
"Drimmelen";88;24
"Dronten";26.5;11
"Druten";58.1;11
"Duiven";15.9;4
"Echt-Susteren";79.1;25
"Edam-Volendam";38.7;14
"Ede";31.6;37
"Eemnes";10.8;1
"Eersel";77.7;15
"Eijsden-Margraten";124.3;32
"Eindhoven";48.2;113
"Elburg";38.9;9
"Emmen";9.3;10
"Enkhuizen";91.4;17
"Enschede";28.2;45
"Epe";54.2;18
"Ermelo";66.7;18
"Etten-Leur";91.2;40
"Geertruidenberg";51.1;11
"Geldrop-Mierlo";50.3;20
"Gemert-Bakel";247.4;76
"Gennep";53.2;9
"Gilze en Rijen";83.2;22
