"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Hertogenbosch";62.5;97
"Aa en Hunze";3.9;1
"Aalsmeer";25.1;8
"Aalten";3.7;1
"Achtkarspelen";0;0
"Alblasserdam";29.8;6
"Albrandswaard";19.5;5
"Alkmaar";32.9;36
"Almelo";20.5;15
"Almere";37.8;80
"Alphen aan den Rijn";35.7;40
"Alphen-Chaam";137.1;14
"Altena";42.9;24
"Ameland";0;0
"Amersfoort";23.5;37
"Amstelveen";42.5;39
"Amsterdam";39.1;341
"Apeldoorn";18.3;30
"Appingedam";17.2;2
"Arnhem";28.5;46
"Assen";13.1;9
"Asten";47.8;8
"Baarle-Nassau";14.6;1
"Baarn";28.1;7
"Barendrecht";43.1;21
"Barneveld";16.9;10
"Beek";69.3;11
"Beekdaelen";94.5;34
"Beemster";39.9;4
"Beesel";96.4;13
"Berg en Dal";71.4;25
"Bergeijk";48.3;9
"Bergen (L.)";38.2;5
"Bergen (NH.)";50.3;15
"Bergen op Zoom";22.2;15
"Berkelland";4.6;2
"Bernheze";230.4;72
"Best";80;24
"Beuningen";65.7;17
"Beverwijk";24;10
"Bladel";63.7;13
"Blaricum";43.3;5
"Bloemendaal";21.2;5
"Bodegraven-Reeuwijk";14.3;5
"Boekel";259.6;28
"Borger-Odoorn";7.8;2
"Borne";55.8;13
"Borsele";17.6;4
"Boxmeer";51.1;15
"Boxtel";39;12
"Breda";68.9;127
"Brielle";40.5;7
"Bronckhorst";5.5;2
"Brummen";33.7;7
"Brunssum";89.9;25
"Bunnik";39.5;6
"Bunschoten";13.7;3
"Buren";26.2;7
"Capelle aan den IJssel";40.2;27
"Castricum";36.1;13
"Coevorden";25.5;9
"Cranendonck";212.6;45
"Cuijk";31.8;8
"Culemborg";69.1;20
"Dalfsen";45.5;13
"Dantumadiel";10.6;2
"De Bilt";44.1;19
"De Fryske Marren";23.3;12
"De Ronde Venen";49.5;22
"De Wolden";20.6;5
"Delft";28;29
"Delfzijl";20.3;5
"Den Helder";14.2;8
"Deurne";135.5;44
"Deventer";28.8;29
"Diemen";13;4
"Dinkelland";60.4;16
"Doesburg";36.1;4
"Doetinchem";12.1;7
"Dongen";45.8;12
"Dordrecht";46.1;55
"Drechterland";10.1;2
"Drimmelen";55;15
"Dronten";36.1;15
"Druten";84.6;16
"Duiven";27.9;7
"Echt-Susteren";94.9;30
"Edam-Volendam";38.7;14
"Ede";35.8;42
"Eemnes";10.8;1
"Eersel";93.2;18
"Eijsden-Margraten";139.8;36
"Eindhoven";39.7;93
"Elburg";25.9;6
"Emmen";11.2;12
"Enkhuizen";80.7;15
"Enschede";24.4;39
"Epe";39.2;13
"Ermelo";51.8;14
"Etten-Leur";70.6;31
"Geertruidenberg";41.8;9
"Geldrop-Mierlo";50.3;20
"Gemert-Bakel";198.5;61
"Gennep";70.9;12
"Gilze en Rijen";56.7;15
"Goeree-Overflakkee";77.9;39
"Goes";21;8
"Goirle";96.2;23
"Gooise Meren";32.7;19
"Gorinchem";29.7;11
"Gouda";32.7;24
"Grave";120.6;15
"Groningen";6;14
"Gulpen-Wittem";91.7;13
"Haaksbergen";45.3;11
"Haaren";104.4;15
"Haarlem";22.7;37
"Haarlemmermeer";26.9;42
"Halderberge";29.7;9
"Hardenberg";19.7;12
"Harderwijk";20.6;10
"Hardinxveld-Giessendam";5.5;1
"Harlingen";12.7;2
"Hattem";57.3;7
"Heemskerk";48.5;19
"Heemstede";29.4;8
"Heerde";118.4;22
"Heerenveen";19.8;10
"Heerhugowaard";38.2;22
"Heerlen";96.5;84
"Heeze-Leende";49.5;8
"Heiloo";33.4;8
"Hellendoorn";16.7;6
"Hellevoetsluis";19.9;8
"Helmond";58.4;54
"Hendrik-Ido-Ambacht";12.8;4
"Hengelo";14.8;12
"Het Hogeland";10.5;5
"Heumen";85.1;14
"Heusden";76.1;34
"Hillegom";22.5;5
"Hilvarenbeek";38.7;6
"Hilversum";19.8;18
"Hoeksche Waard";65.2;57
"Hof van Twente";37.1;13
"Hollands Kroon";53.7;26
"Hoogeveen";16.2;9
"Hoorn";30;22
"Horst aan de Maas";84.8;36
"Houten";31.9;16
"Huizen";36.3;15
"Hulst";21.8;6
"IJsselstein";76.2;26
"Kaag en Braassem";18.3;5
"Kampen";77.3;42
"Kapelle";7.9;1
"Katwijk";21.3;14
"Kerkrade";87.4;40
"Koggenland";26.4;6
"Krimpen aan den IJssel";16.9;5
"Krimpenerwaard";58.6;33
"Laarbeek";119.8;27
"Landerd";165.3;26
"Landgraaf";82.8;31
"Landsmeer";26.1;3
"Langedijk";49.7;14
"Lansingerland";41.7;26
"Laren";71;8
"Leeuwarden";23.4;29
"Leiden";20;25
"Leiderdorp";25.9;7
"Leidschendam-Voorburg";19.6;15
"Lelystad";42;33
"Leudal";130.9;47
"Leusden";19.7;6
"Lingewaard";45.1;21
"Lisse";21.8;5
"Lochem";14.8;5
"Loon op Zand";85.4;20
"Lopik";103.7;15
"Loppersum";0;0
"Losser";26.4;6
"Maasdriel";47.9;12
"Maasgouw";87.6;21
"Maassluis";36.1;12
"Maastricht";89.7;109
"Medemblik";22.2;10
"Meerssen";58.4;11
"Meierijstad";184.7;150
"Meppel";14.7;5
"Middelburg";26.6;13
"Midden-Delfland";15.5;3
"Midden-Drenthe";18.1;6
"Midden-Groningen";6.6;4
"Mill en Sint Hubert";64;7
"Moerdijk";18.8;7
"Molenlanden";34.1;15
"Montferland";13.9;5
"Montfoort";79;11
"Mook en Middelaar";51;4
"Neder-Betuwe";119.1;29
"Nederweert";146.9;25
"Nieuwegein";39.4;25
"Nieuwkoop";24.3;7
"Nijkerk";41.7;18
"Nijmegen";55.1;98
"Nissewaard";29.3;25
"Noardeast-Frysl̢n";8.8;4
"Noord-Beveland";13.5;1
"Noordenveld";3.2;1
"Noordoostpolder";16.9;8
"Noordwijk";25.3;11
"Nuenen, Gerwen en Nederwetten";51.3;12
"Nunspeet";82.6;23
"Oegstgeest";20.1;5
"Oirschot";48.1;9
"Oisterwijk";49.5;13
"Oldambt";2.6;1
"Oldebroek";55;13
"Oldenzaal";34.6;11
"Olst-Wijhe";49.3;9
"Ommen";38.9;7
"Oost Gelre";13.5;4
"Oosterhout";44.7;25
"Ooststellingwerf";3.9;1
"Oostzaan";61.6;6
"Opmeer";8.4;1
"Opsterland";16.8;5
"Oss";113.1;104
"Oude IJsselstreek";12.7;5
"Ouder-Amstel";28.5;4
"Oudewater";195.6;20
"Overbetuwe";98.1;47
"Papendrecht";9.3;3
"Peel en Maas";285.6;124
"Pekela";32.8;4
"Pijnacker-Nootdorp";27.1;15
"Purmerend";61.6;50
"Putten";8.3;2
"Raalte";53;20
"Reimerswaal";17.6;4
"Renkum";38.2;12
"Renswoude";55.1;3
"Reusel-De Mierden";53.4;7
"Rheden";64;28
"Rhenen";14.9;3
"Ridderkerk";58.4;27
"Rijssen-Holten";44.5;17
"Rijswijk";29.4;16
"Roerdalen";102.1;21
"Roermond";63.5;37
"Roosendaal";19.4;15
"Rotterdam";32.4;211
"Rozendaal";58.7;1
"Rucphen";26.2;6
"s-Gravenhage";27.7;151
"Schagen";30.1;14
