"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Hertogenbosch";56.1;87
"Aa en Hunze";3.9;1
"Aalsmeer";25.1;8
"Aalten";3.7;1
"Achtkarspelen";0;0
"Alblasserdam";24.8;5
"Albrandswaard";19.5;5
"Alkmaar";32;35
"Almelo";20.5;15
"Almere";36.3;77
"Alphen aan den Rijn";35.7;40
"Alphen-Chaam";127.3;13
"Altena";39.3;22
"Ameland";0;0
"Amersfoort";22.9;36
"Amstelveen";41.4;38
"Amsterdam";37.8;330
"Apeldoorn";17.1;28
"Appingedam";17.2;2
"Arnhem";27.3;44
"Assen";10.2;7
"Asten";47.8;8
"Baarle-Nassau";14.6;1
"Baarn";28.1;7
"Barendrecht";43.1;21
"Barneveld";15.2;9
"Beek";69.3;11
"Beekdaelen";94.5;34
"Beemster";39.9;4
"Beesel";96.4;13
"Berg en Dal";71.4;25
"Bergeijk";48.3;9
"Bergen (L.)";30.6;4
"Bergen (NH.)";50.3;15
"Bergen op Zoom";22.2;15
"Berkelland";2.3;1
"Bernheze";224;70
"Best";80;24
"Beuningen";57.9;15
"Beverwijk";24;10
"Bladel";58.8;12
"Blaricum";43.3;5
"Bloemendaal";21.2;5
"Bodegraven-Reeuwijk";14.3;5
"Boekel";250.4;27
"Borger-Odoorn";7.8;2
"Borne";55.8;13
"Borsele";17.6;4
"Boxmeer";47.7;14
"Boxtel";35.7;11
"Breda";68.9;127
"Brielle";40.5;7
"Bronckhorst";2.8;1
"Brummen";28.9;6
"Brunssum";89.9;25
"Bunnik";39.5;6
"Bunschoten";13.7;3
"Buren";26.2;7
"Capelle aan den IJssel";34.3;23
"Castricum";33.3;12
"Coevorden";25.5;9
"Cranendonck";207.9;44
"Cuijk";27.8;7
"Culemborg";69.1;20
"Dalfsen";42;12
"Dantumadiel";10.6;2
"De Bilt";41.7;18
"De Fryske Marren";23.3;12
"De Ronde Venen";47.2;21
"De Wolden";8.2;2
"Delft";26;27
"Delfzijl";20.3;5
"Den Helder";14.2;8
