"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Gravenhage";19.2;103
"'s-Hertogenbosch";56.4;87
"Aa en Hunze";11.8;3
"Aalsmeer";34.7;11
"Aalten";7.4;2
"Achtkarspelen";3.6;1
"Alblasserdam";29.9;6
"Albrandswaard";75.2;19
"Alkmaar";26.7;29
"Almelo";16.5;12
"Almere";15.4;32
"Alphen aan den Rijn";27;30
"Alphen-Chaam";187.2;19
"Altena";63.2;35
"Ameland";0;0
"Amersfoort";34.6;54
"Amstelveen";50.6;46
"Amsterdam";40.7;351
"Apeldoorn";24;39
"Appingedam";0;0
"Arnhem";21.3;34
"Assen";10.3;7
"Asten";35.9;6
"Baarle-Nassau";29.2;2
"Baarn";20.2;5
"Barendrecht";39;19
"Barneveld";22.4;13
"Beek";81.6;13
"Beekdaelen";89.6;32
"Beemster";20.5;2
"Beesel";59.2;8
"Berg en Dal";123.6;43
"Bergeijk";59.5;11
"Bergen (L)";7.6;1
"Bergen (NH)";46.7;14
"Bergen op Zoom";19.5;13
"Berkelland";4.6;2
"Bernheze";269.4;83
"Best";70.4;21
"Beuningen";58;15
"Beverwijk";29.1;12
"Bladel";74.3;15
"Blaricum";53.6;6
"Bloemendaal";68.3;16
"Bodegraven-Reeuwijk";23.2;8
"Boekel";396.7;42
"Borger-Odoorn";0;0
"Borne";51.7;12
"Borsele";26.3;6
"Boxmeer";34.4;10
"Boxtel";61.8;19
"Breda";109.3;201
"Brielle";11.6;2
"Bronckhorst";22.1;8
"Brummen";19.3;4
"Brunssum";78.3;22
"Bunnik";59.2;9
"Bunschoten";13.9;3
"Buren";26.3;7
"Capelle aan den IJssel";38.9;26
"Castricum";36.3;13
"Coevorden";47.9;17
"Cranendonck";151.7;31
"Cuijk";32.1;8
"Culemborg";49;14
"Dalfsen";45.6;13
"Dantumadiel";5.3;1
"De Bilt";79.4;34
"De Fryske Marren";23.3;12
"De Ronde Venen";29.5;13
"De Wolden";12.4;3
"Delft";24.2;25
"Delfzijl";8.1;2
"Den Helder";10.8;6
"Deurne";108.2;35
"Deventer";30;30
"Diemen";20.6;6
"Dinkelland";94.9;25
"Doesburg";44.9;5
"Doetinchem";29.5;17
"Dongen";23;6
"Dordrecht";23.6;28
"Drechterland";20.4;4
"Drimmelen";77.3;21
"Dronten";27;11
"Druten";37.2;7
"Duiven";11.8;3
"Echt-Susteren";72.7;23
"Edam-Volendam";27.7;10
"Ede";28.5;33
"Eemnes";11;1
"Eersel";73.3;14
