"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Gravenhage";12.7;69
"'s-Hertogenbosch";38.7;60
"Aa en Hunze";3.9;1
"Aalsmeer";9.4;3
"Aalten";3.7;1
"Achtkarspelen";0;0
"Alblasserdam";5;1
"Albrandswaard";15.6;4
"Alkmaar";14.6;16
"Almelo";10.9;8
"Almere";17;36
"Alphen aan den Rijn";21.4;24
"Alphen-Chaam";88.1;9
"Altena";28.6;16
"Ameland";0;0
"Amersfoort";12.1;19
"Amstelveen";17.4;16
"Amsterdam";21.7;189
"Apeldoorn";11.6;19
"Appingedam";8.6;1
"Arnhem";14.9;24
"Assen";4.4;3
"Asten";17.9;3
"Baarle-Nassau";14.6;1
"Baarn";4;1
"Barendrecht";30.8;15
"Barneveld";6.8;4
"Beek";0;0
"Beekdaelen";33.4;12
"Beemster";20;2
"Beesel";66.8;9
"Berg en Dal";40;14
"Bergeijk";21.5;4
"Bergen (L.)";22.9;3
"Bergen (NH.)";26.8;8
"Bergen op Zoom";14.8;10
"Berkelland";2.3;1
"Bernheze";163.2;51
"Best";43.4;13
"Beuningen";38.6;10
"Beverwijk";12;5
"Bladel";34.3;7
"Blaricum";8.7;1
"Bloemendaal";8.5;2
"Bodegraven-Reeuwijk";5.7;2
"Boekel";204;22
"Borger-Odoorn";3.9;1
"Borne";34.3;8
"Borsele";13.2;3
"Boxmeer";20.4;6
"Boxtel";29.2;9
"Breda";56.4;104
"Brielle";23.1;4
"Bronckhorst";2.8;1
"Brummen";14.5;3
"Brunssum";28.8;8
"Bunnik";19.7;3
"Bunschoten";0;0
"Buren";15;4
"Capelle aan den IJssel";25.3;17
"Castricum";19.5;7
"Coevorden";14.2;5
"Cranendonck";75.6;16
"Cuijk";15.9;4
"Culemborg";44.9;13
"Dalfsen";14;4
"Dantumadiel";0;0
"De Bilt";16.2;7
"De Fryske Marren";15.5;8
"De Ronde Venen";18;8
"De Wolden";8.2;2
"Delft";16.4;17
"Delfzijl";12.2;3
"Den Helder";8.9;5
"Deurne";64.7;21
"Deventer";10.9;11
"Diemen";9.7;3
"Dinkelland";37.8;10
"Doesburg";27.1;3
"Doetinchem";8.6;5
"Dongen";19.1;5
"Dordrecht";17.6;21
"Drechterland";5.1;1
"Drimmelen";51.3;14
"Dronten";19.2;8
"Druten";58.1;11
"Duiven";15.9;4
"Echt-Susteren";60.1;19
"Edam-Volendam";22.1;8
"Ede";17.1;20
"Eemnes";10.8;1
"Eersel";36.2;7
"Eijsden-Margraten";19.4;5
"Eindhoven";13.6;32
"Elburg";8.6;2
"Emmen";4.7;5
"Enkhuizen";69.9;13
"Enschede";13.8;22
"Epe";21.1;7
"Ermelo";29.6;8
"Etten-Leur";47.9;21
"Geertruidenberg";37.1;8
"Geldrop-Mierlo";17.6;7
"Gemert-Bakel";117.2;36
"Gennep";41.4;7
"Gilze en Rijen";49.2;13
"Goeree-Overflakkee";40;20
"Goes";7.9;3
"Goirle";58.6;14
"Gooise Meren";15.5;9
"Gorinchem";18.9;7
"Gouda";17.7;13
"Grave";72.4;9
"Groningen";3.4;8
"Gulpen-Wittem";7.1;1
"Haaksbergen";16.5;4
"Haaren";97.4;14
"Haarlem";15.3;25
"Haarlemmermeer";17.9;28
"Halderberge";29.7;9
"Hardenberg";4.9;3
"Harderwijk";16.5;8
"Hardinxveld-Giessendam";0;0
"Harlingen";6.4;1
"Hattem";24.6;3
"Heemskerk";28.1;11
"Heemstede";11;3
"Heerde";91.5;17
"Heerenveen";9.9;5
"Heerhugowaard";26;15
"Heerlen";27.6;24
"Heeze-Leende";24.8;4
"Heiloo";12.5;3
"Hellendoorn";8.4;3
"Hellevoetsluis";10;4
"Helmond";23.8;22
"Hendrik-Ido-Ambacht";9.6;3
"Hengelo";7.4;6
"Het Hogeland";8.4;4
"Heumen";36.5;6
"Heusden";44.7;20
"Hillegom";13.5;3
"Hilvarenbeek";25.8;4
"Hilversum";8.8;8
"Hoeksche Waard";26.3;23
"Hof van Twente";22.8;8
"Hollands Kroon";33;16
"Hoogeveen";3.6;2
"Hoorn";17.8;13
"Horst aan de Maas";49.5;21
"Houten";8;4
"Huizen";7.3;3
"Hulst";14.5;4
"IJsselstein";41;14
"Kaag en Braassem";11;3
"Kampen";23.9;13
"Kapelle";7.9;1
"Katwijk";12.2;8
"Kerkrade";21.9;10
"Koggenland";22;5
"Krimpen aan den IJssel";6.8;2
"Krimpenerwaard";33.7;19
"Laarbeek";48.8;11
"Landerd";114.4;18
"Landgraaf";18.7;7
"Landsmeer";26.1;3
"Langedijk";21.3;6
"Lansingerland";22.4;14
"Laren";44.3;5
"Leeuwarden";12.9;16
"Leiden";11.2;14
"Leiderdorp";18.5;5
"Leidschendam-Voorburg";9.1;7
"Lelystad";28;22
"Leudal";78;28
"Leusden";13.2;4
"Lingewaard";25.7;12
"Lisse";8.7;2
"Lochem";5.9;2
