"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Gravenhage";9.9;53
"'s-Hertogenbosch";38.9;60
"Aa en Hunze";3.9;1
"Aalsmeer";25.2;8
"Aalten";3.7;1
"Achtkarspelen";0;0
"Alblasserdam";19.9;4
"Albrandswaard";55.4;14
"Alkmaar";14.7;16
"Almelo";9.6;7
"Almere";8.7;18
"Alphen aan den Rijn";15.3;17
"Alphen-Chaam";137.9;14
"Altena";45.1;25
"Ameland";0;0
"Amersfoort";26.2;41
"Amstelveen";31.9;29
"Amsterdam";23.5;203
"Apeldoorn";16;26
"Appingedam";0;0
"Arnhem";12.6;20
"Assen";5.9;4
"Asten";29.9;5
"Baarle-Nassau";14.6;1
"Baarn";8.1;2
"Barendrecht";26.7;13
"Barneveld";17.3;10
"Beek";31.4;5
"Beekdaelen";56;20
"Beemster";0;0
"Beesel";37;5
"Berg en Dal";94.8;33
"Bergeijk";16.2;3
"Bergen (L)";7.6;1
"Bergen (NH)";30;9
"Bergen op Zoom";18;12
"Berkelland";4.6;2
"Bernheze";201.3;62
"Best";46.9;14
"Beuningen";46.4;12
"Beverwijk";17;7
"Bladel";59.5;12
"Blaricum";35.7;4
"Bloemendaal";47;11
"Bodegraven-Reeuwijk";14.5;5
"Boekel";377.8;40
"Borger-Odoorn";0;0
"Borne";30.2;7
"Borsele";13.2;3
"Boxmeer";24.1;7
"Boxtel";39;12
"Breda";87.6;161
"Brielle";5.8;1
"Bronckhorst";16.6;6
"Brummen";19.3;4
"Brunssum";28.5;8
"Bunnik";26.3;4
"Bunschoten";0;0
"Buren";18.8;5
"Capelle aan den IJssel";10.5;7
"Castricum";22.4;8
"Coevorden";39.5;14
"Cranendonck";93;19
"Cuijk";20.1;5
"Culemborg";17.5;5
"Dalfsen";31.6;9
"Dantumadiel";0;0
"De Bilt";53.7;23
"De Fryske Marren";15.6;8
"De Ronde Venen";13.6;6
"De Wolden";12.4;3
"Delft";15.5;16
"Delfzijl";4;1
"Den Helder";7.2;4
"Deurne";68;22
"Deventer";17;17
"Diemen";13.7;4
"Dinkelland";56.9;15
"Doesburg";35.9;4
"Doetinchem";10.4;6
"Dongen";7.7;2
"Dordrecht";14.3;17
"Drechterland";10.2;2
"Drimmelen";58.9;16
"Dronten";27;11
"Druten";31.9;6
"Duiven";7.9;2
"Echt-Susteren";44.3;14
"Edam-Volendam";16.6;6
"Ede";18.1;21
"Eemnes";11;1
"Eersel";52.3;10
"Eijsden-Margraten";27.3;7
"Eindhoven";23.7;55
"Elburg";17.3;4
"Emmen";5.6;6
"Enkhuizen";43.2;8
"Enschede";12.6;20
"Epe";30.2;10
"Ermelo";48.4;13
"Etten-Leur";54.8;24
"Geertruidenberg";46.5;10
"Geldrop-Mierlo";20.2;8
"Gemert-Bakel";183.9;56
"Gennep";41;7
"Gilze en Rijen";49.2;13
"Goeree-Overflakkee";72.6;36
"Goes";8;3
"Goirle";54.6;13
"Gooise Meren";19.1;11
"Gorinchem";5.5;2
"Gouda";21.9;16
"Grave";88.1;11
"Groningen";22.9;53
"Gulpen-Wittem";14;2
"Haaksbergen";12.4;3
"Haaren";84.5;12
"Haarlem";18;29
"Haarlemmermeer";11.7;18
"Halderberge";23.2;7
"Hardenberg";6.6;4
