"Category";"Zkh opname per 100.000";"Zkh opname";"Meldingen per 100.000";"Meldingen"
"'s-Hertogenbosch";65.8;102;157.3;244
"Aa en Hunze";3.9;1;27.5;7
"Aalsmeer";25.1;8;78.5;25
"Aalten";3.7;1;66.4;18
"Achtkarspelen";0;0;18;5
"Alblasserdam";34.7;7;89.3;18
"Albrandswaard";23.4;6;179.8;46
"Alkmaar";36.5;40;118.8;130
"Almelo";21.9;16;69.8;51
"Almere";39.7;84;64.7;137
"Alphen aan den Rijn";41.1;46;73.3;82
"Alphen-Chaam";146.9;15;381.9;39
"Altena";42.9;24;125;70
"Ameland";0;0;0;0
"Amersfoort";27.3;43;65.5;103
"Amstelveen";43.6;40;181;166
"Amsterdam";39.4;344;113.4;990
"Apeldoorn";20.1;33;81.2;133
"Appingedam";17.2;2;17.2;2
"Arnhem";30.4;49;71.3;115
"Assen";13.1;9;37.9;26
"Asten";53.8;9;185.3;31
"Baarle-Nassau";14.6;1;43.7;3
"Baarn";28.1;7;84.4;21
"Barendrecht";49.3;24;117;57
"Barneveld";18.6;11;96.5;57
"Beek";75.6;12;157.5;25
"Beekdaelen";102.8;37;166.8;60
"Beemster";39.9;4;79.8;8
"Beesel";111.3;15;185.4;25
"Berg en Dal";77.2;27;311.5;109
"Bergeijk";48.3;9;155.6;29
"Bergen (L.)";38.2;5;68.8;9
"Bergen (NH.)";53.6;16;127.3;38
"Bergen op Zoom";23.7;16;62.2;42
"Berkelland";4.6;2;41.1;18
"Bernheze";240;75;556.9;174
"Best";83.4;25;146.7;44
"Beuningen";65.7;17;139;36
"Beverwijk";24;10;120.2;50
"Bladel";63.7;13;171.6;35
"Blaricum";43.3;5;95.4;11
"Bloemendaal";21.2;5;144.3;34
"Bodegraven-Reeuwijk";17.2;6;57.4;20
"Boekel";259.6;28;676.9;73
"Borger-Odoorn";7.8;2;11.7;3
"Borne";55.8;13;145.8;34
"Borsele";17.6;4;61.6;14
"Boxmeer";54.5;16;173.6;51
"Boxtel";48.7;15;116.9;36
"Breda";71.6;132;177.5;327
"Brielle";52.1;9;121.5;21
"Bronckhorst";11.1;4;52.7;19
"Brummen";38.5;8;86.7;18
"Brunssum";104.3;29;169;47
"Bunnik";46.1;7;118.5;18
"Bunschoten";18.3;4;91.5;20
"Buren";26.2;7;71;19
"Capelle aan den IJssel";40.2;27;187.6;126
"Castricum";36.1;13;133.4;48
"Coevorden";25.5;9;93.5;33
"Cranendonck";226.8;48;453.6;96
"Cuijk";35.8;9;127.3;32
"Culemborg";69.1;20;124.3;36
"Dalfsen";52.5;15;132.9;38
"Dantumadiel";10.6;2;31.7;6
"De Bilt";44.1;19;160;69
"De Fryske Marren";23.3;12;71.8;37
"De Ronde Venen";54;24;117;52
"De Wolden";28.8;7;82.2;20
"Delft";31.8;33;65.6;68
"Delfzijl";20.3;5;52.7;13
"Den Helder";14.2;8;32;18
"Deurne";141.7;46;292.5;95
"Deventer";31.8;32;88.4;89
"Diemen";13;4;55.2;17
"Dinkelland";60.4;16;211.6;56
"Doesburg";36.1;4;99.3;11
"Doetinchem";15.5;9;72.4;42
"Dongen";53.4;14;179.2;47
"Dordrecht";50.3;60;103.9;124
"Drechterland";10.1;2;131.9;26
"Drimmelen";58.7;16;132;36
"Dronten";43.3;18;93.8;39
"Druten";89.9;17;200.9;38
"Duiven";35.8;9;91.5;23
"Echt-Susteren";101.2;32;164.5;52
"Edam-Volendam";47;17;91.2;33
"Ede";39.3;46;93;109
"Eemnes";10.8;1;75.7;7
"Eersel";93.2;18;186.4;36
"Eijsden-Margraten";159.2;41;361.1;93
"Eindhoven";40.5;95;109.2;256
"Elburg";43.2;10;202.9;47
"Emmen";12.1;13;36.4;39
"Enkhuizen";86.1;16;129.1;24
"Enschede";26.9;43;74.5;119
"Epe";42.2;14;168.7;56
"Ermelo";55.5;15;181.4;49
"Etten-Leur";75.2;33;211.9;93
"Geertruidenberg";41.8;9;78.9;17
"Geldrop-Mierlo";50.3;20;146;58
"Gemert-Bakel";205;63;397.1;122
"Gennep";76.8;13;200.9;34
"Gilze en Rijen";60.5;16;174;46
"Goeree-Overflakkee";79.9;40;385.6;193
"Goes";23.6;9;94.5;36
"Goirle";100.4;24;213.3;51
"Gooise Meren";34.5;20;96.5;56
"Gorinchem";37.8;14;237.8;88
"Gouda";36.8;27;134.8;99
"Grave";128.6;16;297.5;37
"Groningen";6;14;51.5;120
"Gulpen-Wittem";91.7;13;225.7;32
"Haaksbergen";49.4;12;102.8;25
"Haaren";104.4;15;201.8;29
"Haarlem";28.8;47;115.4;188
"Haarlemmermeer";29.5;46;88.4;138
"Halderberge";29.7;9;115.6;35
"Hardenberg";27.9;17;137.8;84
"Harderwijk";24.8;12;105.3;51
"Hardinxveld-Giessendam";5.5;1;98.4;18
"Harlingen";12.7;2;44.5;7
"Hattem";73.7;9;229.3;28
"Heemskerk";51;20;158.2;62
"Heemstede";29.4;8;279;76
"Heerde";129.1;24;382;71
"Heerenveen";21.8;11;85.2;43
"Heerhugowaard";38.2;22;105.9;61
"Heerlen";105.7;92;188.4;164
"Heeze-Leende";49.5;8;216.7;35
"Heiloo";37.5;9;112.6;27
"Hellendoorn";19.5;7;103;37
"Hellevoetsluis";27.4;11;97.1;39
"Helmond";63.8;59;183.9;170
"Hendrik-Ido-Ambacht";16;5;54.5;17
"Hengelo";17.3;14;88.7;72
"Het Hogeland";14.6;7;41.8;20
"Heumen";91.2;15;224.9;37
"Heusden";78.3;35;152.1;68
"Hillegom";22.5;5;72;16
"Hilvarenbeek";38.7;6;148.3;23
"Hilversum";19.8;18;49.5;45
"Hoeksche Waard";68.6;60;145.2;127
"Hof van Twente";37.1;13;97.1;34
"Hollands Kroon";53.7;26;86.7;42
"Hoogeveen";18;10;55.7;31
"Hoorn";30;22;61.4;45
"Horst aan de Maas";89.6;38;157.9;67
"Houten";33.9;17;141.6;71
"Huizen";38.8;16;84.8;35
"Hulst";21.8;6;72.6;20
"IJsselstein";82.1;28;167.1;57
"Kaag en Braassem";18.3;5;47.6;13
"Kampen";86.5;47;276;150
"Kapelle";7.9;1;102.4;13
"Katwijk";25.9;17;94.3;62
"Kerkrade";96.2;44;166.1;76
"Koggenland";26.4;6;92.3;21
"Krimpen aan den IJssel";16.9;5;111.7;33
"Krimpenerwaard";62.1;35;133.2;75
"Laarbeek";119.8;27;297.4;67
"Landerd";178;28;508.6;80
"Landgraaf";90.8;34;184.2;69
"Landsmeer";26.1;3;147.9;17
"Langedijk";53.3;15;103;29
"Lansingerland";46.5;29;163.5;102
"Laren";71;8;159.7;18
"Leeuwarden";23.4;29;33.9;42
"Leiden";21.6;27;62.3;78
"Leiderdorp";29.6;8;51.7;14
"Leidschendam-Voorburg";20.9;16;60.1;46
"Lelystad";47.1;37;75;59
"Leudal";142.1;51;247.9;89
"Leusden";23;7;95.4;29
"Lingewaard";47.2;22;98.7;46
"Lisse";21.8;5;52.3;12
"Lochem";17.8;6;71.2;24
"Loon op Zand";85.4;20;158.1;37
"Lopik";103.7;15;179.7;26
"Loppersum";0;0;21;2
"Losser";26.4;6;57.3;13
"Maasdriel";55.9;14;75.9;19
"Maasgouw";87.6;21;175.3;42
"Maassluis";39.1;13;93.3;31
"Maastricht";95.4;116;277.2;337
"Medemblik";31;14;82;37
"Meerssen";58.4;11;191.2;36
"Meierijstad";197.1;160;428.6;348
"Meppel";14.7;5;61.9;21
"Middelburg";26.6;13;63.5;31
"Midden-Delfland";15.5;3;56.9;11
"Midden-Drenthe";18.1;6;42.2;14
"Midden-Groningen";6.6;4;21.4;13
"Mill en Sint Hubert";82.3;9;128;14
"Moerdijk";24.2;9;83.5;31
"Molenlanden";34.1;15;136.6;60
"Montferland";16.7;6;61.1;22
"Montfoort";86.2;12;208.3;29
"Mook en Middelaar";51;4;216.6;17
"Neder-Betuwe";123.2;30;217.7;53
"Nederweert";146.9;25;211.5;36
"Nieuwegein";45.7;29;93;59
"Nieuwkoop";24.3;7;93.7;27
"Nijkerk";44;19;85.7;37
"Nijmegen";56.3;100;189.1;336
"Nissewaard";32.8;28;99.7;85
"Noardeast-Fryslân";8.8;4;24.3;11
"Noord-Beveland";13.5;1;54.1;4
"Noordenveld";6.4;2;28.8;9
"Noordoostpolder";16.9;8;42.3;20
"Noordwijk";25.3;11;57.4;25
"Nuenen, Gerwen en Nederwetten";51.3;12;98.4;23
"Nunspeet";93.4;26;312.4;87
"Oegstgeest";20.1;5;92.6;23
"Oirschot";48.1;9;181.6;34
"Oisterwijk";61;16;156.2;41
"Oldambt";2.6;1;10.5;4
"Oldebroek";76.1;18;266.4;63
"Oldenzaal";40.8;13;94.2;30
"Olst-Wijhe";49.3;9;142.5;26
"Ommen";38.9;7;149.9;27
"Oost Gelre";13.5;4;91.1;27
"Oosterhout";51.8;29;110.7;62
"Ooststellingwerf";3.9;1;7.9;2
"Oostzaan";82.2;8;174.7;17
"Opmeer";8.4;1;33.8;4
"Opsterland";16.8;5;43.7;13
"Oss";117.5;108;300.2;276
"Oude IJsselstreek";15.2;6;66;26
"Ouder-Amstel";28.5;4;121.2;17
"Oudewater";195.6;20;361.8;37
"Overbetuwe";102.3;49;167;80
"Papendrecht";15.6;5;93.4;30
"Peel en Maas";297.1;129;462.9;201
"Pekela";32.8;4;32.8;4
"Pijnacker-Nootdorp";27.1;15;79.5;44
"Purmerend";66.5;54;146.5;119
"Putten";12.4;3;58.1;14
"Raalte";53;20;106.1;40
"Reimerswaal";17.6;4;66;15
"Renkum";41.4;13;111.5;35
"Renswoude";73.4;4;165.2;9
"Reusel-De Mierden";53.4;7;99.2;13
"Rheden";66.3;29;112;49
"Rhenen";14.9;3;59.6;12
"Ridderkerk";60.6;28;129.9;60
"Rijssen-Holten";49.8;19;157.2;60
"Rijswijk";27.6;15;71.6;39
"Roerdalen";116.7;24;165.3;34
"Roermond";72.1;42;137.3;80
"Roosendaal";19.4;15;112.7;87
"Rotterdam";36.7;239;145.4;947
"Rozendaal";58.7;1;117.3;2
"Rucphen";26.2;6;104.9;24
"s-Gravenhage";30.6;167;86.6;472
"Schagen";30.1;14;101.1;47
"Scherpenzeel";20.2;2;131.6;13
"Schiedam";38.1;30;81.3;64
"Schiermonnikoog";0;0;0;0
"Schouwen-Duiveland";26.6;9;59.1;20
"Simpelveld";151.6;16;236.9;25
"Sint Anthonis";145.6;17;402.7;47
"Sint-Michielsgestel";71.9;21;178.1;52
"Sittard-Geleen";87.6;81;198;183
"Sliedrecht";23.8;6;95.2;24
"Sluis";25.8;6;47.4;11
"Smallingerland";10.7;6;33.8;19
"Soest";36.5;17;115.9;54
"Someren";103.2;20;263.2;51
"Son en Breugel";132.8;23;259.8;45
"Stadskanaal";3.2;1;6.3;2
"Staphorst";23.3;4;157.5;27
"Stede Broec";69;15;138;30
"Steenbergen";36.7;9;130.6;32
"Steenwijkerland";22.7;10;61.2;27
"Stein";140;35;216;54
"Stichtse Vecht";38.5;25;86.2;56
"Súdwest-Fryslân";15.6;14;48.9;44
"Terneuzen";31.2;17;104.7;57
"Terschelling";0;0;20.5;1
"Texel";22.1;3;58.9;8
"Teylingen";29.4;11;69.5;26
"Tholen";128.1;33;310.6;80
"Tiel";73.5;31;118.6;50
"Tilburg";69.6;153;198.8;437
"Tubbergen";47;10;239.7;51
"Twenterand";23.7;8;77.1;26
"Tynaarlo";20.7;7;85.6;29
"Tytsjerksteradiel";12.5;4;43.7;14
"Uden";204.2;86;477.2;201
"Uitgeest";22;3;102.6;14
"Uithoorn";40.7;12;91.6;27
"Urk";85.6;18;133.1;28
"Utrecht";40;143;134.2;480
"Utrechtse Heuvelrug";38.3;19;112.9;56
"Vaals";79.2;8;158.4;16
"Valkenburg aan de Geul";79.5;13;262.8;43
"Valkenswaard";32.1;10;256.4;80
"Veendam";3.7;1;18.3;5
"Veenendaal";36.1;24;87.2;58
"Veere";18.3;4;82.2;18
"Veldhoven";39.6;18;121;55
"Velsen";30.6;21;203.9;140
"Venlo";103.1;105;166;169
"Venray";78;34;137.6;60
"Vijfheerenlanden";35.2;20;220;125
"Vlaardingen";35.4;26;130.7;96
"Vlieland";0;0;0;0
"Vlissingen";18;8;87.9;39
"Voerendaal";96.2;12;176.4;22
"Voorschoten";31.2;8;85.9;22
"Voorst";36.7;9;150.7;37
"Vught";124.3;33;241;64
"Waadhoeke";13;6;95.5;44
"Waalre";22.9;4;114.6;20
"Waalwijk";47.3;23;168.7;82
"Waddinxveen";37.6;11;95.6;28
"Wageningen";25.2;10;50.4;20
"Wassenaar";22.9;6;83.9;22
"Waterland";63.1;11;109.1;19
"Weert";103.8;52;173.6;87
"Weesp";40.5;8;126.7;25
"West Betuwe";52.7;27;173.8;89
"West Maas en Waal";56.9;11;176;34
"Westerkwartier";18.9;12;61.5;39
"Westerveld";25.7;5;87.4;17
"Westervoort";53.4;8;86.8;13
"Westerwolde";19.4;5;19.4;5
"Westland";35.3;39;102.4;113
"Weststellingwerf";7.7;2;30.9;8
"Westvoorne";40.7;6;135.8;20
"Wierden";16.4;4;85.9;21
"Wijchen";85.1;35;167.8;69
"Wijdemeren";28.7;7;57.5;14
"Wijk bij Duurstede";33.5;8;66.9;16
"Winterswijk";6.9;2;34.6;10
"Woensdrecht";18.3;4;59.4;13
"Woerden";66.9;35;156.8;82
"Wormerland";92;15;171.8;28
"Woudenberg";52.4;7;134.7;18
"Zaanstad";54.9;86;116.8;183
"Zaltbommel";51.9;15;103.8;30
"Zandvoort";46.7;8;151.9;26
"Zeewolde";26.5;6;70.6;16
"Zeist";40;26;120.1;78
"Zevenaar";64;28;96;42
"Zoetermeer";24.7;31;54.3;68
"Zoeterwoude";23.2;2;81.3;7
"Zuidplas";36.5;16;107.1;47
"Zundert";68.7;15;183.3;40
"Zutphen";25;12;70.9;34
"Zwartewaterland";127.8;29;352.6;80
"Zwijndrecht";26.8;12;96.1;43
"Zwolle";32.6;42;139.7;180
