"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Gravenhage";21.1;115
"'s-Hertogenbosch";51.6;80
"Aa en Hunze";3.9;1
"Aalsmeer";22;7
"Aalten";3.7;1
"Achtkarspelen";0;0
"Alblasserdam";19.8;4
"Albrandswaard";19.5;5
"Alkmaar";25.6;28
"Almelo";17.8;13
"Almere";31.6;67
"Alphen aan den Rijn";32.2;36
"Alphen-Chaam";97.9;10
"Altena";37.5;21
"Ameland";0;0
"Amersfoort";19.7;31
"Amstelveen";36;33
"Amsterdam";32.8;286
"Apeldoorn";14.6;24
"Appingedam";8.6;1
"Arnhem";22.9;37
"Assen";10.2;7
"Asten";41.8;7
"Baarle-Nassau";14.6;1
"Baarn";28.1;7
"Barendrecht";41.1;20
"Barneveld";13.5;8
"Beek";63;10
"Beekdaelen";77.8;28
"Beemster";20;2
"Beesel";81.6;11
"Berg en Dal";60;21
"Bergeijk";37.6;7
"Bergen (L.)";22.9;3
"Bergen (NH.)";36.9;11
"Bergen op Zoom";20.7;14
"Berkelland";2.3;1
"Bernheze";217.6;68
"Best";80;24
"Beuningen";57.9;15
"Beverwijk";19.2;8
"Bladel";53.9;11
"Blaricum";43.3;5
"Bloemendaal";17;4
"Bodegraven-Reeuwijk";11.5;4
"Boekel";250.4;27
"Borger-Odoorn";7.8;2
"Borne";51.5;12
"Borsele";13.2;3
"Boxmeer";40.9;12
"Boxtel";35.7;11
"Breda";67.8;125
"Brielle";28.9;5
"Bronckhorst";2.8;1
"Brummen";28.9;6
"Brunssum";82.7;23
"Bunnik";32.9;5
"Bunschoten";9.1;2
"Buren";22.4;6
"Capelle aan den IJssel";34.3;23
"Castricum";30.6;11
"Coevorden";17;6
"Cranendonck";193.7;41
"Cuijk";23.9;6
"Culemborg";58.7;17
"Dalfsen";31.5;9
"Dantumadiel";5.3;1
"De Bilt";34.8;15
"De Fryske Marren";21.3;11
"De Ronde Venen";38.2;17
"De Wolden";8.2;2
"Delft";22.2;23
"Delfzijl";16.2;4
"Den Helder";10.7;6
"Deurne";132.4;43
"Deventer";24.8;25
"Diemen";13;4
"Dinkelland";56.7;15
"Doesburg";27.1;3
"Doetinchem";10.3;6
"Dongen";38.1;10
"Dordrecht";33.5;40
"Drechterland";5.1;1
"Drimmelen";51.3;14
"Dronten";28.9;12
"Druten";84.6;16
"Duiven";15.9;4
"Echt-Susteren";72.7;23
"Edam-Volendam";30.4;11
"Ede";26.5;31
"Eemnes";10.8;1
"Eersel";82.8;16
"Eijsden-Margraten";97.1;25
"Eindhoven";33.7;79
"Elburg";17.3;4
"Emmen";5.6;6
"Enkhuizen";75.3;14
"Enschede";20;32
"Epe";30.1;10
"Ermelo";40.7;11
"Etten-Leur";66.1;29
"Geertruidenberg";41.8;9
"Geldrop-Mierlo";45.3;18
"Gemert-Bakel";192;59
"Gennep";65;11
"Gilze en Rijen";56.7;15
"Goeree-Overflakkee";63.9;32
"Goes";21;8
"Goirle";83.7;20
"Gooise Meren";25.8;15
"Gorinchem";27;10
"Gouda";24.5;18
"Grave";104.5;13
"Groningen";5.2;12
"Gulpen-Wittem";70.5;10
"Haaksbergen";24.7;6
"Haaren";97.4;14
"Haarlem";20.9;34
"Haarlemmermeer";24.4;38
"Halderberge";29.7;9
"Hardenberg";16.4;10
"Harderwijk";16.5;8
"Hardinxveld-Giessendam";5.5;1
"Harlingen";12.7;2
"Hattem";40.9;5
"Heemskerk";45.9;18
"Heemstede";22;6
"Heerde";102.2;19
"Heerenveen";17.8;9
"Heerhugowaard";36.5;21
"Heerlen";82.7;72
"Heeze-Leende";43.3;7
