"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Gravenhage";5;27
"'s-Hertogenbosch";22.7;35
"Aa en Hunze";0;0
"Aalsmeer";12.6;4
"Aalten";0;0
"Achtkarspelen";0;0
"Alblasserdam";10;2
"Albrandswaard";15.8;4
"Alkmaar";8.3;9
"Almelo";2.7;2
"Almere";2.4;5
"Alphen aan den Rijn";9;10
"Alphen-Chaam";59.1;6
"Altena";34.3;19
"Ameland";0;0
"Amersfoort";19.2;30
"Amstelveen";14.3;13
"Amsterdam";9.8;85
"Apeldoorn";6.8;11
"Appingedam";0;0
"Arnhem";6.3;10
"Assen";0;0
"Asten";12;2
"Baarle-Nassau";0;0
"Baarn";8.1;2
"Barendrecht";8.2;4
"Barneveld";10.4;6
"Beek";18.8;3
"Beekdaelen";50.4;18
"Beemster";0;0
"Beesel";0;0
"Berg en Dal";51.7;18
"Bergeijk";5.4;1
"Bergen (L)";7.6;1
"Bergen (NH)";13.3;4
"Bergen op Zoom";9;6
"Berkelland";2.3;1
"Bernheze";97.4;30
"Best";20.1;6
"Beuningen";23.2;6
"Beverwijk";14.6;6
"Bladel";14.9;3
"Blaricum";17.9;2
"Bloemendaal";12.8;3
"Bodegraven-Reeuwijk";2.9;1
"Boekel";188.9;20
"Borger-Odoorn";0;0
"Borne";12.9;3
"Borsele";13.2;3
"Boxmeer";6.9;2
"Boxtel";19.5;6
"Breda";61.5;113
"Brielle";5.8;1
"Bronckhorst";8.3;3
"Brummen";4.8;1
"Brunssum";14.2;4
"Bunnik";6.6;1
"Bunschoten";0;0
"Buren";18.8;5
"Capelle aan den IJssel";3;2
"Castricum";16.8;6
"Coevorden";33.8;12
"Cranendonck";29.4;6
"Cuijk";16;4
"Culemborg";14;4
"Dalfsen";3.5;1
"Dantumadiel";0;0
"De Bilt";37.4;16
"De Fryske Marren";9.7;5
"De Ronde Venen";4.5;2
"De Wolden";4.1;1
"Delft";4.8;5
"Delfzijl";0;0
"Den Helder";3.6;2
"Deurne";30.9;10
"Deventer";5;5
"Diemen";6.9;2
"Dinkelland";30.4;8
"Doesburg";9;1
"Doetinchem";5.2;3
"Dongen";19.2;5
"Dordrecht";6.7;8
"Drechterland";0;0
"Drimmelen";47.9;13
"Dronten";22.1;9
"Druten";26.6;5
"Duiven";7.9;2
"Echt-Susteren";19;6
"Edam-Volendam";8.3;3
"Ede";4.3;5
"Eemnes";11;1
"Eersel";20.9;4
"Eijsden-Margraten";15.6;4
"Eindhoven";10.4;24
"Elburg";4.3;1
"Emmen";2.8;3
"Enkhuizen";27;5
"Enschede";4.4;7
"Epe";12.1;4
"Ermelo";29.8;8
"Etten-Leur";32;14
"Geertruidenberg";32.5;7
"Geldrop-Mierlo";10.1;4
"Gemert-Bakel";101.8;31
"Gennep";23.4;4
"Gilze en Rijen";18.9;5
"Goeree-Overflakkee";16.1;8
"Goes";8;3
"Goirle";46.2;11
"Gooise Meren";17.3;10
"Gorinchem";2.7;1
"Gouda";12.3;9
"Grave";16;2
"Groningen";9.9;23
"Gulpen-Wittem";14;2
"Haaksbergen";4.1;1
"Haaren";63.4;9
"Haarlem";6.2;10
"Haarlemmermeer";3.2;5
"Halderberge";6.6;2
"Hardenberg";0;0
"Harderwijk";10.5;5
"Hardinxveld-Giessendam";27.7;5
"Harlingen";6.3;1
"Hattem";0;0
"Heemskerk";7.7;3
"Heemstede";18.3;5
"Heerde";21.6;4
"Heerenveen";0;0
"Heerhugowaard";3.5;2
"Heerlen";17.3;15
"Heeze-Leende";25.1;4
"Heiloo";12.8;3
"Hellendoorn";5.6;2
"Hellevoetsluis";2.5;1
"Helmond";24;22
"Hendrik-Ido-Ambacht";0;0
"Hengelo (O)";5;4
"Het Hogeland";0;0
"Heumen";36.4;6
"Heusden";13.6;6
"Hillegom";4.6;1
"Hilvarenbeek";26.1;4
"Hilversum";3.3;3
"Hoeksche Waard";13.8;12
"Hof van Twente";8.6;3
"Hollands Kroon";6.3;3
"Hoogeveen";5.4;3
"Hoorn";2.7;2
"Horst aan de Maas";23.6;10
"Houten";34.1;17
"Huizen";7.3;3
"Hulst";0;0
"IJsselstein";23.4;8
"Kaag en Braassem";3.7;1
"Kampen";3.7;2
"Kapelle";15.6;2
"Katwijk";3.1;2
