"Category";"Zkh opname per 100.000";"Zkh opname";"Meldingen per 100.000";"Meldingen"
"'s-Hertogenbosch";65.8;102;167;259
"Aa en Hunze";3.9;1;31.4;8
"Aalsmeer";25.1;8;84.8;27
"Aalten";3.7;1;77.4;21
"Achtkarspelen";0;0;18;5
"Alblasserdam";39.7;8;104.1;21
"Albrandswaard";27.4;7;191.5;49
"Alkmaar";38.4;42;129.7;142
"Almelo";24.6;18;80.7;59
"Almere";41.5;88;68.9;146
"Alphen aan den Rijn";41.1;46;76;85
"Alphen-Chaam";146.9;15;381.9;39
"Altena";42.9;24;132.2;74
"Ameland";0;0;0;0
"Amersfoort";29.9;47;66.8;105
"Amstelveen";43.6;40;195.2;179
"Amsterdam";39.6;346;122.7;1071
"Apeldoorn";20.8;34;84.2;138
"Appingedam";17.2;2;17.2;2
"Arnhem";30.4;49;76.8;124
"Assen";14.6;10;39.4;27
"Asten";53.8;9;197.2;33
"Baarle-Nassau";14.6;1;58.3;4
"Baarn";28.1;7;92.5;23
"Barendrecht";55.4;27;123.2;60
"Barneveld";18.6;11;98.2;58
"Beek";75.6;12;151.2;24
"Beekdaelen";102.8;37;172.3;62
"Beemster";39.9;4;79.8;8
"Beesel";118.7;16;200.3;27
"Berg en Dal";77.2;27;311.5;109
"Bergeijk";48.3;9;171.7;32
"Bergen (L.)";38.2;5;76.4;10
"Bergen (NH.)";53.6;16;134;40
"Bergen op Zoom";25.2;17;71.1;48
"Berkelland";4.6;2;50.3;22
"Bernheze";243.2;76;572.9;179
"Best";83.4;25;150.1;45
"Beuningen";65.7;17;139;36
"Beverwijk";26.4;11;125;52
"Bladel";63.7;13;176.5;36
"Blaricum";43.3;5;112.7;13
"Bloemendaal";21.2;5;148.5;35
"Bodegraven-Reeuwijk";20.1;7;66;23
"Boekel";268.9;29;686.2;74
"Borger-Odoorn";7.8;2;11.7;3
"Borne";55.8;13;163;38
"Borsele";17.6;4;66;15
"Boxmeer";57.9;17;190.7;56
"Boxtel";51.9;16;123.4;38
"Breda";72.7;134;184;339
"Brielle";57.9;10;127.3;22
"Bronckhorst";11.1;4;61;22
"Brummen";38.5;8;91.5;19
"Brunssum";104.3;29;165.4;46
"Bunnik";46.1;7;125.1;19
"Bunschoten";18.3;4;100.6;22
"Buren";26.2;7;74.8;20
"Capelle aan den IJssel";41.7;28;193.6;130
"Castricum";36.1;13;138.9;50
"Coevorden";25.5;9;96.3;34
"Cranendonck";226.8;48;463;98
"Cuijk";35.8;9;135.2;34
"Culemborg";69.1;20;127.8;37
"Dalfsen";52.5;15;160.9;46
"Dantumadiel";10.6;2;31.7;6
"De Bilt";44.1;19;167;72
"De Fryske Marren";25.2;13;71.8;37
"De Ronde Venen";54;24;117;52
"De Wolden";28.8;7;86.3;21
"Delft";33.8;35;71.4;74
"Delfzijl";20.3;5;52.7;13
"Den Helder";14.2;8;35.5;20
"Deurne";141.7;46;301.8;98
"Deventer";31.8;32;101.3;102
"Diemen";13;4;61.7;19
