"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Gravenhage";6.7;36
"'s-Hertogenbosch";24.6;38
"Aa en Hunze";0;0
"Aalsmeer";15.8;5
"Aalten";3.7;1
"Achtkarspelen";0;0
"Alblasserdam";14.9;3
"Albrandswaard";19.8;5
"Alkmaar";9.2;10
"Almelo";4.1;3
"Almere";2.4;5
"Alphen aan den Rijn";11.7;13
"Alphen-Chaam";59.1;6
"Altena";34.3;19
"Ameland";0;0
"Amersfoort";20.5;32
"Amstelveen";24.2;22
"Amsterdam";14.7;127
"Apeldoorn";8;13
"Appingedam";0;0
"Arnhem";8.2;13
"Assen";1.5;1
"Asten";12;2
"Baarle-Nassau";14.6;1
"Baarn";4;1
"Barendrecht";10.3;5
"Barneveld";13.8;8
"Beek";31.4;5
"Beekdaelen";53.2;19
"Beemster";0;0
"Beesel";7.4;1
"Berg en Dal";57.5;20
"Bergeijk";5.4;1
"Bergen (L)";7.6;1
"Bergen (NH)";13.3;4
"Bergen op Zoom";12;8
"Berkelland";2.3;1
"Bernheze";120.1;37
"Best";26.8;8
"Beuningen";30.9;8
"Beverwijk";14.6;6
"Bladel";29.7;6
"Blaricum";26.8;3
"Bloemendaal";12.8;3
"Bodegraven-Reeuwijk";2.9;1
"Boekel";236.1;25
"Borger-Odoorn";0;0
"Borne";12.9;3
"Borsele";13.2;3
"Boxmeer";17.2;5
"Boxtel";19.5;6
"Breda";65.8;121
"Brielle";5.8;1
"Bronckhorst";13.8;5
"Brummen";4.8;1
"Brunssum";21.4;6
"Bunnik";13.2;2
"Bunschoten";0;0
"Buren";18.8;5
"Capelle aan den IJssel";4.5;3
"Castricum";16.8;6
"Coevorden";36.6;13
"Cranendonck";39.1;8
"Cuijk";16;4
"Culemborg";14;4
"Dalfsen";14;4
"Dantumadiel";0;0
"De Bilt";42;18
"De Fryske Marren";11.7;6
"De Ronde Venen";6.8;3
"De Wolden";8.3;2
"Delft";8.7;9
"Delfzijl";0;0
