"Category";"Zkh opname per 100.000";"Zkh opname";"Meldingen per 100.000";"Meldingen"
"Laarbeek";119.8;27;288.5;65
"Landerd";178;28;470.4;74
"Landgraaf";88.1;33;170.9;64
"Landsmeer";26.1;3;139.2;16
"Langedijk";53.3;15;99.4;28
"Lansingerland";41.7;26;149;93
"Laren";71;8;150.8;17
"Leeuwarden";23.4;29;33.9;42
"Leiden";21.6;27;58.3;73
"Leiderdorp";29.6;8;48;13
"Leidschendam-Voorburg";20.9;16;56.2;43
"Lelystad";43.2;34;70;55
"Leudal";139.3;50;239.6;86
"Leusden";23;7;95.4;29
"Lingewaard";45.1;21;92.3;43
"Lisse";21.8;5;52.3;12
"Lochem";14.8;5;62.3;21
"Loon op Zand";85.4;20;158.1;37
"Lopik";103.7;15;172.8;25
"Loppersum";0;0;21;2
"Losser";26.4;6;48.5;11
"Maasdriel";55.9;14;75.9;19
"Maasgouw";87.6;21;171.1;41
"Maassluis";39.1;13;81.3;27
"Maastricht";92.1;112;260.8;317
"Medemblik";26.6;12;79.8;36
"Meerssen";58.4;11;185.9;35
"Meierijstad";190.9;155;405.2;329
"Meppel";14.7;5;61.9;21
"Middelburg";26.6;13;59.4;29
"Midden-Delfland";15.5;3;56.9;11
"Midden-Drenthe";18.1;6;39.2;13
"Midden-Groningen";6.6;4;16.4;10
"Mill en Sint Hubert";64;7;128;14
"Moerdijk";18.8;7;75.4;28
"Molenlanden";34.1;15;116.1;51
"Montferland";16.7;6;61.1;22
"Montfoort";86.2;12;201.1;28
"Mook en Middelaar";51;4;216.6;17
"Neder-Betuwe";123.2;30;209.5;51
"Nederweert";146.9;25;217.4;37
"Nieuwegein";41;26;91.4;58
"Nieuwkoop";24.3;7;93.7;27
"Nijkerk";41.7;18;85.7;37
"Nijmegen";56.3;100;179.5;319
"Nissewaard";31.7;27;90.3;77
"Noardeast-Fryslân";8.8;4;15.5;7
"Noord-Beveland";13.5;1;54.1;4
"Noordenveld";3.2;1;25.6;8
"Noordoostpolder";16.9;8;40.2;19
"Noordwijk";25.3;11;55.1;24
"Nuenen, Gerwen en Nederwetten";51.3;12;94.1;22
"Nunspeet";86.2;24;301.7;84
"Oegstgeest";20.1;5;84.5;21
"Oirschot";48.1;9;160.2;30
"Oisterwijk";53.4;14;144.8;38
"Oldambt";2.6;1;10.5;4
"Oldebroek";71.9;17;249.5;59
"Oldenzaal";40.8;13;91.1;29
"Olst-Wijhe";49.3;9;131.5;24
"Ommen";38.9;7;144.4;26
"Oost Gelre";13.5;4;84.4;25
"Oosterhout";48.2;27;107.2;60
"Ooststellingwerf";3.9;1;7.9;2
"Oostzaan";71.9;7;174.7;17
"Opmeer";8.4;1;33.8;4
"Opsterland";16.8;5;37;11
"Oss";116.4;107;289.3;266
"Oude IJsselstreek";12.7;5;58.4;23
"Ouder-Amstel";28.5;4;114;16
"Oudewater";195.6;20;352;36
"Overbetuwe";98.1;47;162.8;78
"Papendrecht";12.4;4;71.6;23
"Peel en Maas";294.8;128;453.7;197
"Pekela";32.8;4;32.8;4
"Pijnacker-Nootdorp";27.1;15;75.9;42
"Purmerend";64;52;140.3;114
"Putten";8.3;2;58.1;14
"Raalte";53;20;103.4;39
"Reimerswaal";17.6;4;52.8;12
"Renkum";38.2;12;101.9;32
"Renswoude";55.1;3;146.8;8
"Reusel-De Mierden";53.4;7;99.2;13
"Rheden";66.3;29;112;49
"Rhenen";14.9;3;59.6;12
"Ridderkerk";58.4;27;123.4;57
"Rijssen-Holten";47.1;18;149.3;57
"Rijswijk";29.4;16;68;37
"Roerdalen";106.9;22;155.6;32
"Roermond";68.7;40;125.3;73
"Roosendaal";19.4;15;101;78
"Rotterdam";35.3;230;132.5;863
"Rozendaal";58.7;1;117.3;2
"Rucphen";26.2;6;100.6;23
"s-Gravenhage";29.2;159;80.7;440
"Schagen";30.1;14;92.5;43
"Scherpenzeel";20.2;2;131.6;13
"Schiedam";38.1;30;77.5;61
"Schiermonnikoog";0;0;0;0
"Schouwen-Duiveland";26.6;9;56.1;19
"Simpelveld";142.2;15;218;23
"Sint Anthonis";145.6;17;385.5;45
"Sint-Michielsgestel";68.5;20;174.6;51
"Sittard-Geleen";82.2;76;187.2;173
"Sliedrecht";19.8;5;83.3;21
"Sluis";25.8;6;47.4;11
"Smallingerland";10.7;6;28.5;16
"Soest";36.5;17;113.7;53
"Someren";103.2;20;237.4;46
"Son en Breugel";127;22;196.3;34
"Stadskanaal";3.2;1;6.3;2
"Staphorst";23.3;4;145.8;25
"Stede Broec";69;15;138;30
"Steenbergen";36.7;9;126.5;31
"Steenwijkerland";22.7;10;56.6;25
"Stein";136;34;204;51
"Stichtse Vecht";38.5;25;83.2;54
"Súdwest-Fryslân";15.6;14;45.6;41
"Terneuzen";29.4;16;88.2;48
"Terschelling";0;0;20.5;1
"Texel";22.1;3;58.9;8
"Teylingen";29.4;11;69.5;26
"Tholen";124.2;32;298.9;77
"Tiel";71.2;30;109.1;46
"Tilburg";68.2;150;192.4;423
"Tubbergen";47;10;235;50
"Twenterand";23.7;8;65.2;22
"Tynaarlo";20.7;7;85.6;29
"Tytsjerksteradiel";12.5;4;40.6;13
"Uden";199.4;84;458.2;193
"Uitgeest";22;3;102.6;14
"Uithoorn";40.7;12;88.2;26
"Urk";85.6;18;133.1;28
"Utrecht";39.1;140;131.4;470
"Utrechtse Heuvelrug";38.3;19;108.9;54
"Vaals";69.3;7;138.6;14
"Valkenburg aan de Geul";79.5;13;250.6;41
"Valkenswaard";32.1;10;246.8;77
