"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Gravenhage";32.3;176
"'s-Hertogenbosch";84.5;131
"Aa en Hunze";15.7;4
"Aalsmeer";53.4;17
"Aalten";18.4;5
"Achtkarspelen";7.2;2
"Alblasserdam";34.7;7
"Albrandswaard";93.8;24
"Alkmaar";41.1;45
"Almelo";26;19
"Almere";26.9;57
"Alphen aan den Rijn";36.6;41
"Alphen-Chaam";235;24
"Altena";73.2;41
"Ameland";0;0
"Amersfoort";43.2;68
"Amstelveen";81.8;75
"Amsterdam";60.7;530
"Apeldoorn";32.4;53
"Appingedam";8.6;1
"Arnhem";36.6;59
"Assen";17.5;12
"Asten";89.6;15
"Baarle-Nassau";43.7;3
"Baarn";28.1;7
"Barendrecht";59.5;29
"Barneveld";33.9;20
"Beek";94.5;15
"Beekdaelen";108.4;39
"Beemster";39.9;4
"Beesel";111.3;15
"Berg en Dal";182.9;64
"Bergeijk";75.1;14
"Bergen (L.)";15.3;2
"Bergen (NH.)";73.7;22
"Bergen op Zoom";25.2;17
"Berkelland";11.4;5
"Bernheze";332.8;104
"Best";83.4;25
"Beuningen";88.8;23
"Beverwijk";48.1;20
"Bladel";88.3;18
"Blaricum";52;6
"Bloemendaal";80.6;19
"Bodegraven-Reeuwijk";31.5;11
"Boekel";547.1;59
"Borger-Odoorn";7.8;2
"Borne";81.5;19
"Borsele";30.8;7
"Boxmeer";64.7;19
"Boxtel";77.9;24
"Breda";128.6;237
"Brielle";63.7;11
"Bronckhorst";30.5;11
"Brummen";38.5;8
"Brunssum";93.5;26
"Bunnik";65.8;10
"Bunschoten";18.3;4
"Buren";29.9;8
"Capelle aan den IJssel";62.5;42
"Castricum";55.6;20
"Coevorden";56.7;20
"Cranendonck";259.9;55
"Cuijk";39.8;10
"Culemborg";62.2;18
"Dalfsen";56;16
"Dantumadiel";15.9;3
"De Bilt";90.4;39
"De Fryske Marren";40.7;21
"De Ronde Venen";42.7;19
"De Wolden";28.8;7
"Delft";30.9;32
"Delfzijl";28.4;7
"Den Helder";19.5;11
"Deurne";163.2;53
"Deventer";45.7;46
"Diemen";26;8
"Dinkelland";120.9;32
"Doesburg";54.2;6
"Doetinchem";39.6;23
"Dongen";68.6;18
"Dordrecht";35.2;42
"Drechterland";25.4;5
"Drimmelen";110;30
"Dronten";31.3;13
"Druten";84.6;16
"Duiven";23.9;6
"Echt-Susteren";91.7;29
"Edam-Volendam";38.7;14
"Ede";41.8;49
"Eemnes";10.8;1
"Eersel";103.6;20
"Eijsden-Margraten";186.4;48
"Eindhoven";59.3;139
"Elburg";69.1;16
"Emmen";13.1;14
"Enkhuizen";91.4;17
"Enschede";34.4;55
"Epe";87.4;29
"Ermelo";74.1;20
"Etten-Leur";116.2;51
"Geertruidenberg";55.7;12
"Geldrop-Mierlo";60.4;24
"Gemert-Bakel";292.9;90
"Gennep";82.7;14
"Gilze en Rijen";102.1;27
"Goeree-Overflakkee";203.8;102
"Goes";42;16
"Goirle";142.2;34
"Gooise Meren";43.1;25
"Gorinchem";45.9;17
"Gouda";50.4;37
"Grave";176.9;22
"Groningen";37.4;87
"Gulpen-Wittem";70.5;10
"Haaksbergen";41.1;10
"Haaren";153.1;22
"Haarlem";49.7;81
"Haarlemmermeer";34;53
"Halderberge";42.9;13
"Hardenberg";32.8;20
"Harderwijk";45.4;22
"Hardinxveld-Giessendam";38.3;7
"Harlingen";25.4;4
"Hattem";81.9;10
"Heemskerk";56.1;22
"Heemstede";99.1;27
"Heerde";182.9;34
"Heerenveen";15.8;8
"Heerhugowaard";46.9;27
"Heerlen";89.6;78
"Heeze-Leende";99.1;16
"Heiloo";66.7;16
"Hellendoorn";33.4;12
"Hellevoetsluis";37.4;15
"Helmond";108.2;100
"Hendrik-Ido-Ambacht";19.2;6
"Hengelo";39.4;32
"Het Hogeland";18.8;9
"Heumen";115.5;19
"Heusden";98.4;44
"Hillegom";22.5;5
"Hilvarenbeek";83.8;13
"Hilversum";26.4;24
"Hoeksche Waard";68.6;60
"Hof van Twente";48.6;17
"Hollands Kroon";47.5;23
"Hoogeveen";21.5;12
"Hoorn";30;22
"Horst aan de Maas";75.4;32
"Houten";111.7;56
"Huizen";31.5;13
"Hulst";10.9;3
"IJsselstein";99.7;34
"Kaag en Braassem";22;6
"Kampen";114.1;62
"Kapelle";15.8;2
"Katwijk";31.9;21
"Kerkrade";74.3;34
"Koggenland";44;10
"Krimpen aan den IJssel";44;13
"Krimpenerwaard";58.6;33
"Laarbeek";195.3;44
"Landerd";298.8;47
"Landgraaf";77.4;29
"Landsmeer";69.6;8
"Langedijk";53.3;15
"Lansingerland";75.3;47
"Laren";71;8
"Leeuwarden";18.5;23
"Leiden";29.6;37
"Leiderdorp";25.9;7
"Leidschendam-Voorburg";27.4;21
"Lelystad";39.4;31
"Leudal";125.4;45
"Leusden";62.5;19
"Lingewaard";57.9;27
"Lisse";17.4;4
"Lochem";41.5;14
"Loon op Zand";132.4;31
"Lopik";117.5;17
"Loppersum";10.5;1
"Losser";13.2;3
"Maasdriel";43.9;11
"Maasgouw";54.3;13
"Maassluis";42.1;14
"Maastricht";142.3;173
"Medemblik";42.1;19
"Meerssen";63.7;12
"Meierijstad";279.6;227
"Meppel";23.6;8
"Middelburg";26.6;13
"Midden-Delfland";20.7;4
"Midden-Drenthe";15.1;5
"Midden-Groningen";9.9;6
"Mill en Sint Hubert";100.5;11
"Moerdijk";26.9;10
"Molenlanden";43.2;19
"Montferland";27.8;10
"Montfoort";100.6;14
"Mook en Middelaar";101.9;8
"Neder-Betuwe";127.4;31
"Nederweert";158.6;27
"Nieuwegein";47.3;30
"Nieuwkoop";34.7;10
"Nijkerk";41.7;18
"Nijmegen";100.2;178
"Nissewaard";44.6;38
"Noardeast-Fryslân";13.3;6
"Noord-Beveland";27;2
"Noordenveld";16;5
"Noordoostpolder";23.3;11
"Noordwijk";39.1;17
"Nuenen, Gerwen en Nederwetten";59.9;14
"Nunspeet";161.6;45
"Oegstgeest";52.3;13
"Oirschot";74.8;14
"Oisterwijk";95.3;25
"Oldambt";5.2;2
"Oldebroek";118.4;28
"Oldenzaal";59.7;19
"Olst-Wijhe";43.8;8
"Ommen";55.5;10
"Oost Gelre";37.1;11
"Oosterhout";71.4;40
"Ooststellingwerf";3.9;1
"Oostzaan";71.9;7
"Opmeer";25.3;3
"Opsterland";23.5;7
"Oss";167.5;154
"Oude IJsselstreek";25.4;10
"Ouder-Amstel";64.2;9
"Oudewater";205.4;21
"Overbetuwe";125.2;60
"Papendrecht";21.8;7
"Peel en Maas";308.6;134
