"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Gravenhage";15.1;81
"'s-Hertogenbosch";48.6;75
"Aa en Hunze";3.9;1
"Aalsmeer";31.5;10
"Aalten";7.4;2
"Achtkarspelen";3.6;1
"Alblasserdam";24.9;5
"Albrandswaard";71.2;18
"Alkmaar";22.1;24
"Almelo";13.7;10
"Almere";13.5;28
"Alphen aan den Rijn";19.8;22
"Alphen-Chaam";157.7;16
"Altena";63.2;35
"Ameland";0;0
"Amersfoort";30.1;47
"Amstelveen";38.5;35
"Amsterdam";34.4;297
"Apeldoorn";20.9;34
"Appingedam";0;0
"Arnhem";15.7;25
"Assen";7.4;5
"Asten";35.9;6
"Baarle-Nassau";29.2;2
"Baarn";16.2;4
"Barendrecht";32.9;16
"Barneveld";22.4;13
"Beek";81.6;13
"Beekdaelen";84;30
"Beemster";20.5;2
"Beesel";51.8;7
"Berg en Dal";106.3;37
"Bergeijk";54.1;10
"Bergen (L)";7.6;1
"Bergen (NH)";40;12
"Bergen op Zoom";18;12
"Berkelland";4.6;2
"Bernheze";224;69
"Best";63.7;19
"Beuningen";58;15
"Beverwijk";26.7;11
"Bladel";74.3;15
"Blaricum";44.6;5
"Bloemendaal";55.5;13
"Bodegraven-Reeuwijk";14.5;5
"Boekel";396.7;42
"Borger-Odoorn";0;0
"Borne";47.4;11
"Borsele";21.9;5
"Boxmeer";31;9
"Boxtel";48.8;15
"Breda";98.4;181
"Brielle";5.8;1
"Bronckhorst";19.3;7
"Brummen";19.3;4
"Brunssum";71.2;20
"Bunnik";52.7;8
"Bunschoten";13.9;3
"Buren";26.3;7
"Capelle aan den IJssel";34.4;23
"Castricum";28;10
"Coevorden";42.3;15
"Cranendonck";122.3;25
"Cuijk";32.1;8
"Culemborg";28;8
"Dalfsen";42.1;12
"Dantumadiel";0;0
"De Bilt";74.7;32
"De Fryske Marren";17.5;9
"De Ronde Venen";20.4;9
"De Wolden";12.4;3
"Delft";20.4;21
"Delfzijl";4;1
"Den Helder";9;5
"Deurne";92.7;30
"Deventer";26;26
"Diemen";20.6;6
"Dinkelland";75.9;20
"Doesburg";44.9;5
"Doetinchem";17.4;10
"Dongen";23;6
"Dordrecht";21.9;26
"Drechterland";15.3;3
"Drimmelen";73.7;20
"Dronten";27;11
"Druten";37.2;7
"Duiven";7.9;2
"Echt-Susteren";63.2;20
"Edam-Volendam";24.9;9
"Ede";22.5;26
"Eemnes";11;1
"Eersel";68;13
"Eijsden-Margraten";77.9;20
"Eindhoven";34.5;80
"Elburg";21.7;5
"Emmen";7.5;8
"Enkhuizen";70.2;13
"Enschede";16.4;26
"Epe";45.3;15
"Ermelo";63.3;17
"Etten-Leur";70.8;31
"Geertruidenberg";51.1;11
"Geldrop-Mierlo";37.9;15
"Gemert-Bakel";223.3;68
"Gennep";41;7
"Gilze en Rijen";68.1;18
"Goeree-Overflakkee";88.7;44
"Goes";10.6;4
"Goirle";75.7;18
"Gooise Meren";31.2;18
"Gorinchem";21.8;8
"Gouda";24.6;18
"Grave";88.1;11
"Groningen";25.1;58
"Gulpen-Wittem";35.1;5
"Haaksbergen";12.4;3
"Haaren";84.5;12
"Haarlem";28.5;46
"Haarlemmermeer";14.9;23
"Halderberge";26.5;8
"Hardenberg";11.6;7
"Harderwijk";27.3;13
"Hardinxveld-Giessendam";33.2;6
"Harlingen";19;3
"Hattem";24.6;3
"Heemskerk";23;9
"Heemstede";62.3;17
"Heerde";102.4;19
"Heerenveen";6;3
"Heerhugowaard";28.2;16
"Heerlen";61;53
"Heeze-Leende";62.6;10
"Heiloo";38.4;9
"Hellendoorn";19.5;7
"Hellevoetsluis";12.5;5
"Helmond";68.8;63
"Hendrik-Ido-Ambacht";9.7;3
"Hengelo (O)";21.1;17
"Het Hogeland";8.4;4
"Heumen";72.8;12
"Heusden";45.3;20
"Hillegom";13.7;3
"Hilvarenbeek";65.2;10
"Hilversum";17.7;16
"Hoeksche Waard";41.5;36
"Hof van Twente";17.2;6
"Hollands Kroon";20.9;10
"Hoogeveen";12.6;7
"Hoorn";19.2;14
"Horst aan de Maas";42.6;18
"Houten";74.1;37
"Huizen";17;7
"Hulst";3.6;1
"IJsselstein";52.7;18
"Kaag en Braassem";18.6;5
"Kampen";55.8;30
"Kapelle";15.6;2
"Katwijk";10.7;7
"Kerkrade";46;21
"Koggenland";22;5
"Krimpen aan den IJssel";20.4;6
"Krimpenerwaard";28.5;16
"Laarbeek";85.1;19
"Landerd";161;25
"Landgraaf";55.9;21
"Landsmeer";52.2;6
"Langedijk";42.9;12
"Lansingerland";40.6;25
"Laren";35.7;4
"Leeuwarden";9.7;12
"Leiden";16.8;21
"Leiderdorp";11.1;3
