"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Gravenhage";29.5;161
"'s-Hertogenbosch";75.4;117
"Aa en Hunze";15.7;4
"Aalsmeer";50.2;16
"Aalten";11.1;3
"Achtkarspelen";7.2;2
"Alblasserdam";29.8;6
"Albrandswaard";89.9;23
"Alkmaar";38.4;42
"Almelo";20.5;15
"Almere";22.7;48
"Alphen aan den Rijn";31.3;35
"Alphen-Chaam";205.6;21
"Altena";73.2;41
"Ameland";0;0
"Amersfoort";40.1;63
"Amstelveen";68.7;63
"Amsterdam";54.7;477
"Apeldoorn";31.7;52
"Appingedam";8.6;1
"Arnhem";32.2;52
"Assen";14.6;10
"Asten";59.8;10
"Baarle-Nassau";29.2;2
"Baarn";24.1;6
"Barendrecht";57.5;28
"Barneveld";32.2;19
"Beek";88.2;14
"Beekdaelen";102.8;37
"Beemster";39.9;4
"Beesel";96.4;13
"Berg en Dal";151.5;53
"Bergeijk";75.1;14
"Bergen (L.)";15.3;2
"Bergen (NH.)";67;20
"Bergen op Zoom";25.2;17
"Berkelland";4.6;2
"Bernheze";304;95
"Best";76.7;23
"Beuningen";69.5;18
"Beverwijk";40.9;17
"Bladel";88.3;18
"Blaricum";52;6
"Bloemendaal";80.6;19
"Bodegraven-Reeuwijk";28.7;10
"Boekel";491.5;53
"Borger-Odoorn";3.9;1
"Borne";64.3;15
"Borsele";30.8;7
"Boxmeer";57.9;17
"Boxtel";77.9;24
"Breda";123.2;227
"Brielle";57.9;10
"Bronckhorst";25;9
"Brummen";24.1;5
"Brunssum";89.9;25
"Bunnik";65.8;10
"Bunschoten";18.3;4
"Buren";26.2;7
"Capelle aan den IJssel";61.1;41
"Castricum";52.8;19
"Coevorden";56.7;20
"Cranendonck";198.4;42
"Cuijk";39.8;10
"Culemborg";55.3;16
"Dalfsen";52.5;15
"Dantumadiel";5.3;1
"De Bilt";90.4;39
"De Fryske Marren";33;17
"De Ronde Venen";38.2;17
"De Wolden";28.8;7
"Delft";28;29
"Delfzijl";28.4;7
"Den Helder";16;9
"Deurne";141.7;46
"Deventer";44.7;45
"Diemen";22.7;7
"Dinkelland";113.3;30
"Doesburg";54.2;6
"Doetinchem";31;18
"Dongen";45.8;12
"Dordrecht";30.2;36
"Drechterland";25.4;5
"Drimmelen";95.3;26
"Dronten";26.5;11
